policy,coverage,retained_tasks,failure_rate,mean_selection_gain_sd,median_selection_gain_sd,mean_selection_regret_sd,median_selection_regret_sd,worst_quintile_mean_gain_sd,confidence_threshold
variantshift,0.1,4,0.0,0.8739323342562066,0.5957178932049707,0.014149588157896839,0.010446202639150054,0.4479241518602165,-0.1396591195095529
variantshift,0.2,8,0.125,0.5933840163613231,0.5957178932049707,0.23743051751899216,0.027157196550744583,-0.07831084000977423,-0.2456704642733035
variantshift,0.30000000000000004,11,0.09090909090909091,0.64337421024736,0.6665574084864062,0.18266165420155153,0.020892405278300108,0.09710082394688935,-0.271124017553053
variantshift,0.4,15,0.06666666666666667,0.6525326161401225,0.6665574084864062,0.14465819237462424,0.020892405278300108,0.05853395249192841,-0.3820834691192994
variantshift,0.5,18,0.05555555555555555,0.603323228774865,0.6573745188270147,0.13189769002201204,0.013302326334816678,0.09238832736318323,-0.3820834691192994
variantshift,0.6,22,0.045454545454545456,0.6131834712496546,0.5957178932049707,0.11320403052536539,0.013302326334816678,0.12544064991199438,-0.4071143003772737
variantshift,0.7000000000000001,26,0.038461538461538464,0.6264346934236649,0.5957178932049707,0.14462791733707772,0.013302326334816678,0.1648160732199297,-0.5801907895662868
variantshift,0.8,29,0.06896551724137931,0.5916766153093319,0.5372112486083176,0.15235029004229456,0.020892405278300108,0.025365968948625667,-0.6337693157836639
variantshift,0.9,33,0.06060606060606061,0.5744285964393526,0.4776421017154851,0.1574393037651083,0.03342198782318906,0.03265144429376169,-0.7301388861865779
variantshift,1.0,36,0.05555555555555555,0.5853949964128757,0.47180324676886387,0.14431936178468263,0.013302326334816678,0.07009795594395818,-1.0588352762989663
score_dispersion,0.1,4,0.0,0.7943499601670404,0.893821869476431,0.551805529470283,0.5634344914313231,0.0107270700389829,1.7671441322981014
score_dispersion,0.2,8,0.0,0.7195340290088699,0.7017065304255371,0.39758467701684364,0.06765427574438804,0.22065266740450543,1.6866477334607832
score_dispersion,0.30000000000000004,11,0.0,0.727646919112627,0.774829053222089,0.3284745803541865,0.038238292368488636,0.3380741769235385,1.6861384006988165
