panel_id,model_id,tasks,mean_selection_gain_sd,failure_rate,mean_spearman
mavedb-complement-v1,carp_640m,21,0.5010065858467075,0.0,0.4627603436657658
mavedb-complement-v1,vespag,21,0.5007576805247133,0.0,0.4669773209029653
mavedb-complement-v1,esm2_650m,21,0.4616697672094506,0.0,0.4623036434612013
mavedb-complement-v1,esm2_150m,21,0.36011821144044204,0.0,0.3873011037107219
mavedb-complement-v1,esm2_35m,21,0.21919058548391246,0.0,0.1893994729470298
mavedb-complement-v1,esm2_8m,21,0.16083324265924995,0.09523809523809523,0.1467553793395194
venusmuthub-v1,vespag,15,0.6790552928454722,0.06666666666666667,0.409400199754073
venusmuthub-v1,carp_640m,15,0.5730967480021321,0.13333333333333333,0.35254260765035855
venusmuthub-v1,esm2_650m,15,0.4857220703692048,0.26666666666666666,0.28812249469476126
venusmuthub-v1,esm2_150m,15,0.23931584760145158,0.4,0.35652414231589236
venusmuthub-v1,esm2_8m,15,0.15827907422798498,0.4,0.18140344072258466
venusmuthub-v1,esm2_35m,15,0.13141185249231557,0.4666666666666667,0.302647697804571
