model,calibration_method,repeat,n_proteins,mean_spearman,mean_top_recall,mean_selection_gain_sd,mean_observed_coverage,mean_position_coverage_mean,mean_mean_interval_width
cross_protein_histgb,mondrian_substitution,0,169,0.5311609012989317,0.21775846817971828,0.720367835926657,0.8066574220590016,0.8037959417480126,0.6611277038258603
cross_protein_histgb,mondrian_substitution,1,169,0.5312341615811512,0.21035393338968097,0.713661585541432,0.8032043173145144,0.8002972825901113,0.655496312937093
cross_protein_histgb,mondrian_substitution,2,169,0.5356000722660125,0.22018666890395122,0.7256637526653055,0.8174552611329505,0.8147679840019287,0.6747656045883059
cross_protein_histgb,mondrian_substitution,3,169,0.5295822730005882,0.2111945621219024,0.7080522043445374,0.819323015755149,0.8165563920450085,0.6776258079549631
cross_protein_histgb,mondrian_substitution,4,169,0.5271706481670617,0.20742221895095836,0.7083155138092025,0.7981881713577735,0.7951066337925842,0.6503479362801016
cross_protein_histgb,standard_split,0,169,0.5311609012989317,0.21775846817971828,0.720367835926657,0.8067727525125987,0.8036974498500956,0.6603208696637087
cross_protein_histgb,standard_split,1,169,0.5312341615811512,0.21035393338968097,0.713661585541432,0.8032227488471465,0.8003961176625065,0.6560324041160646
cross_protein_histgb,standard_split,2,169,0.5356000722660125,0.22018666890395122,0.7256637526653055,0.8189893434095713,0.8161945600804678,0.6756434523719721
cross_protein_histgb,standard_split,3,169,0.5295822730005882,0.2111945621219024,0.7080522043445374,0.8191219691296504,0.8162623473884928,0.6769558401934489
cross_protein_histgb,standard_split,4,169,0.5271706481670617,0.20742221895095836,0.7083155138092025,0.7991800635389398,0.7961073533837025,0.651458551846577
cross_protein_ridge,mondrian_substitution,0,169,0.5136886352641525,0.21037909740886468,0.6760705308842908,0.8040290718482376,0.8003370661347077,0.674487579118651
cross_protein_ridge,mondrian_substitution,1,169,0.5103734848611227,0.20797202579344323,0.6728819297057953,0.797487122077278,0.7937974737407045,0.6680856313095584
cross_protein_ridge,mondrian_substitution,2,169,0.5141571935240313,0.20959145774723376,0.6713389606817489,0.8120969520316701,0.8086211313883331,0.6820779778874655
cross_protein_ridge,mondrian_substitution,3,169,0.5122225508683195,0.2105591586878466,0.6765719588541029,0.8139561738178887,0.810466524767242,0.6855663417055399
cross_protein_ridge,mondrian_substitution,4,169,0.5104279916090801,0.210882143398382,0.6822339361488485,0.8004276140019227,0.7968842742378651,0.6694727845977809
cross_protein_ridge,standard_split,0,169,0.5136886352641525,0.21037909740886468,0.6760705308842908,0.804226381067496,0.8002299085214963,0.6743247702843814
cross_protein_ridge,standard_split,1,169,0.5103734848611227,0.20797202579344323,0.6728819297057953,0.797806015939741,0.794006858725762,0.6692539400828661
cross_protein_ridge,standard_split,2,169,0.5141571935240313,0.20959145774723376,0.6713389606817489,0.813319618861797,0.8095488604914501,0.6831265901305971
cross_protein_ridge,standard_split,3,169,0.5122225508683195,0.2105591586878466,0.6765719588541029,0.8131382019636368,0.809455391158686,0.6849264088692751
cross_protein_ridge,standard_split,4,169,0.5104279916090801,0.210882143398382,0.6822339361488485,0.8002360057335202,0.7964506857917161,0.6688843722315231
