metric,linear_minus_best_single,bootstrap_ci_low,bootstrap_ci_high,bootstrap_unit,bootstrap_repeats
spearman,0.08403420083111415,0.06618364498585662,0.10584925748141714,protein_pair,2000
selection_gain_sd,0.16781905341990327,0.09651741505407428,0.2741660109863844,protein_pair,2000
top_recall,0.03520441022553634,0.019277008875989626,0.058923737398016846,protein_pair,2000
