protein_id,assay_id,phenotype,pair_side,variants,eligible_predictors,pcs_80pct,pcs_90pct,pcs_95pct,effective_rank,policy,spearman,selection_gain_sd,top_recall
PTEN_HUMAN,PTEN_HUMAN_Matreyek_2021,abundance,a,5083,95,7,19,35,7.796732834657341,uniform_panel,0.5199941724850322,0.6735869861305043,0.1905697445972495
PTEN_HUMAN,PTEN_HUMAN_Mighell_2018,activity,b,7260,95,6,18,35,7.496574499699772,crossfit_best_single,0.5535137839647963,0.5299938952907011,0.16391184573002754
PTEN_HUMAN,PTEN_HUMAN_Mighell_2018,activity,b,7260,95,6,18,35,7.496574499699772,crossfit_linear_span,0.5914337436829331,0.5813557633869298,0.19146005509641872
PTEN_HUMAN,PTEN_HUMAN_Mighell_2018,activity,b,7260,95,6,18,35,7.496574499699772,uniform_panel,0.5551885350554294,0.5230101691983581,0.16942148760330578
Q53Z42_HUMAN,Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,binding,b,3344,95,7,18,34,7.419734370932848,crossfit_best_single,0.4158967483438342,0.5513583992388479,0.1761194029850746
Q53Z42_HUMAN,Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,binding,b,3344,95,7,18,34,7.419734370932848,crossfit_linear_span,0.5387228483783708,0.7898002426817263,0.2507462686567164
Q53Z42_HUMAN,Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,binding,b,3344,95,7,18,34,7.419734370932848,uniform_panel,0.40234627512018606,0.5723148485669038,0.1761194029850746
Q53Z42_HUMAN,Q53Z42_HUMAN_McShan_2019_expression,surface expression,a,3344,95,7,18,34,7.436329391975777,crossfit_best_single,0.635875329820551,0.9241225911301328,0.3880597014925373
Q53Z42_HUMAN,Q53Z42_HUMAN_McShan_2019_expression,surface expression,a,3344,95,7,18,34,7.436329391975777,crossfit_linear_span,0.6926775516160016,1.0871464777046738,0.34626865671641793
Q53Z42_HUMAN,Q53Z42_HUMAN_McShan_2019_expression,surface expression,a,3344,95,7,18,34,7.436329391975777,uniform_panel,0.6285801138396931,0.9978411951380189,0.33134328358208953
RASK_HUMAN,RASK_HUMAN_Weng_2022_abundance,abundance,a,3066,95,4,14,29,5.066744345434343,crossfit_best_single,0.31265147991129033,0.3650886731349372,0.18241042345276873
RASK_HUMAN,RASK_HUMAN_Weng_2022_abundance,abundance,a,3066,95,4,14,29,5.066744345434343,crossfit_linear_span,0.5223771610049356,0.7394865986369743,0.25732899022801303
RASK_HUMAN,RASK_HUMAN_Weng_2022_abundance,abundance,a,3066,95,4,14,29,5.066744345434343,uniform_panel,0.2182690034412499,0.26317085309062593,0.12052117263843648
RASK_HUMAN,RASK_HUMAN_Weng_2022_binding-DARPin_K55,binding,b,3084,95,4,14,29,5.035331077918189,crossfit_best_single,0.6116010354608831,0.785811250220756,0.2168284789644013
RASK_HUMAN,RASK_HUMAN_Weng_2022_binding-DARPin_K55,binding,b,3084,95,4,14,29,5.035331077918189,crossfit_linear_span,0.6456183796947802,0.8234964563919318,0.19741100323624594
RASK_HUMAN,RASK_HUMAN_Weng_2022_binding-DARPin_K55,binding,b,3084,95,4,14,29,5.035331077918189,uniform_panel,0.587072198736725,0.8518248842584294,0.18770226537216828
S22A1_HUMAN,S22A1_HUMAN_Yee_2023_abundance,abundance,a,9803,95,6,18,35,6.3042124015463195,crossfit_best_single,0.654831448094285,0.912604988113738,0.27217125382262997
S22A1_HUMAN,S22A1_HUMAN_Yee_2023_abundance,abundance,a,9803,95,6,18,35,6.3042124015463195,crossfit_linear_span,0.7211231303533892,0.9721691725527596,0.29867482161060144
S22A1_HUMAN,S22A1_HUMAN_Yee_2023_abundance,abundance,a,9803,95,6,18,35,6.3042124015463195,uniform_panel,0.6818887305434161,0.967526712850116,0.28950050968399593
S22A1_HUMAN,S22A1_HUMAN_Yee_2023_activity,activity,b,10094,95,6,17,35,6.157890713157465,crossfit_best_single,0.6050628331177035,0.7523366270316448,0.20495049504950494
