candidate_policy,feasible,regret_auc_improvement,risk_auc_improvement,utility_auc_improvement,regret_improvement_at_50pct,risk_improvement_at_50pct,mean_gain_change_at_50pct,outer_fold
blend_0.5,False,-0.008752830328524891,-0.00526133965769657,0.0009539707249166529,-0.010149332544869646,-0.005434782608695652,-0.007194578575205113,0
blend_1.0,True,0.005593706883879251,0.0016653852038108988,0.009830421941594336,0.007501977154939318,0.005434782608695652,0.03363245401477433,0
blend_1.5,True,0.012957521245209179,0.003341479903161412,0.005150400114402598,0.01653445248259835,0.005434782608695652,-0.004667931157252725,0
blend_2.0,True,0.015465585527554782,0.004017155578837088,0.0018795804612978806,0.01894774554680201,0.005434782608695652,-0.003395674597485465,0
harm_gain_all,True,0.013335903183413787,0.004017155578837088,0.009824777570127452,0.01908812677244536,0.005434782608695652,0.013348025086138526,0
harm_gain_meta,True,0.01871914712964918,0.004619565217391305,-0.003053299130530762,0.020574887313059363,0.005434782608695652,0.016407030599198014,0
harm_gain_shape,True,0.012471783800036648,0.004619565217391305,-0.012081260085054057,0.01895567723758241,0.005434782608695652,0.0061584141744222,0
pure_regret,True,0.01772767163206873,0.004619565217391305,-0.012845507675353196,0.028041305838967676,0.005434782608695652,-0.0016378899353740595,0
blend_0.5,True,-0.024052633015186932,0.0,0.000947448950911256,-0.01562503304234472,0.0,0.015891051363959185,1
blend_1.0,True,-0.019997765852986703,0.0,-0.00406167949488323,-0.013062723231569096,0.0,-0.0006323200700588671,1
blend_1.5,True,-0.017958443875236714,0.0,-0.009109170337172734,-0.010485300437655873,0.0,-0.0030228808332248835,1
blend_2.0,False,-0.01655910379658112,0.0,-0.011145458174479761,-0.005563064469182991,0.0,-0.010535582352968587,1
harm_gain_all,True,-0.010658577744455063,0.0,-0.0026160056452867453,-0.011583402311929086,0.0,-0.0022589690229822823,1
harm_gain_meta,True,-0.006504931568862067,0.0,0.006579505622407167,-0.017977019172803685,0.0,0.006211648329175534,1
harm_gain_shape,True,-0.012188907209304774,0.0,-0.00578119909641972,-0.012723291162079833,0.0,0.0029524290553624155,1
pure_regret,False,0.010622826796735027,0.0,-0.029088982089279236,0.007726844533496556,0.0,-0.0402127027604926,1
blend_0.5,True,0.000909629029612613,0.003995792199385014,0.03291397922358841,0.004059309865527591,0.005405405405405406,0.024273700465542336,2
blend_1.0,True,0.015943680195393793,0.004594594594594595,0.01870821239257192,0.02011286909891772,0.005405405405405406,0.020186218742563544,2
blend_1.5,True,0.017713428687737114,0.004594594594594595,0.0027923925488536616,0.020166423106929204,0.005405405405405406,0.010694230443672681,2
blend_2.0,False,0.018918700317840084,0.004594594594594595,-0.0051926770267776146,0.022056695308882115,0.005405405405405406,-0.01787151929088171,2
harm_gain_all,True,0.018763285786951724,0.003995792199385014,0.011363809236696665,0.01786248474959077,0.005405405405405406,0.004844311513845456,2
harm_gain_meta,True,0.0230011831628675,0.003995792199385014,0.019074018232372536,0.014641909597485861,0.005405405405405406,0.007971969866977124,2
harm_gain_shape,False,0.0175396901617789,0.003995792199385014,0.0026006821108081057,0.021982846000307962,0.005405405405405406,-0.006813439112493991,2
pure_regret,False,0.01851281221034827,0.004594594594594595,-0.03807265428586326,0.024858654796232067,0.005405405405405406,-0.037661612177974146,2
blend_0.5,False,-0.015035470928997027,-0.007896631250763394,0.01591635794222357,-0.008335919579380402,-0.005347282766637606,0.011791354005568522,3
blend_1.0,False,-0.009097973836394893,-0.007896631250763394,-0.01195807490638734,-0.0029269722071915832,-0.005347282766637606,-0.010680744188600988,3
blend_1.5,False,-0.00564408005487349,-0.007896631250763394,-0.02767111654827692,0.002003127602245816,-0.005347282766637606,-0.029299846904363602,3
blend_2.0,False,-0.004715432341875811,-0.007896631250763394,-0.03933113770795993,0.0019987274974908875,-0.005347282766637606,-0.038149101112577855,3
harm_gain_all,False,0.005576164890074134,0.0005747160363733673,-0.009398726400551394,0.0004361162100903482,-0.005347282766637606,-0.01649908751551521,3
harm_gain_meta,False,0.006956035346622758,0.0005747160363733673,0.0004232900935212669,0.0030597668013243734,-0.005347282766637606,-0.022965177806580472,3
harm_gain_shape,True,0.004606203430433761,0.0005747160363733673,-0.0128332981192395,0.0036879880699943607,-0.005347282766637606,0.002095923649039211,3
pure_regret,False,0.0150585594219073,0.0033201165237093386,-0.04773984046261692,0.02006200974057451,0.005405405405405406,-0.05481060212680633,3
blend_0.5,True,-0.006192060719625553,0.0016499848535776684,0.01604773464866327,-0.008534170166407062,0.005405405405405406,0.022168878609023612,4
blend_1.0,True,0.007874386255751806,0.004594594594594595,0.012010259132515078,0.011714095553765597,0.005405405405405406,0.009301059182488136,4
blend_1.5,True,0.010922991527753181,0.004594594594594595,0.004475036187854942,0.014168680445978646,0.005405405405405406,0.002007517041491713,4
blend_2.0,True,0.012157183640074648,0.004594594594594595,0.0011471254739734427,0.017621081595813923,0.005405405405405406,-0.004578017336314799,4
harm_gain_all,True,0.013105119215595776,0.004594594594594595,0.0026767342894804536,0.014260791254899555,0.005405405405405406,0.002980226316725121,4
harm_gain_meta,False,0.01703940965535957,0.004594594594594595,-0.005353315054582031,0.01669450288658543,0.005405405405405406,-0.012209137986795904,4
harm_gain_shape,True,0.010025616829378942,0.004594594594594595,0.0017164194022836199,0.015035009610569805,0.005405405405405406,0.007461327232118897,4
pure_regret,False,0.022634778608700494,0.004594594594594595,-0.021092991943571948,0.0260981691609838,0.005405405405405406,-0.021935496300401702,4
