split,target,model,n_seeds,spearman_mean,spearman_std,spearman_min,spearman_p05,spearman_p95,spearman_max,observed_coverage_mean,observed_coverage_std,observed_coverage_min,observed_coverage_p05,observed_coverage_p95,observed_coverage_max,interval_width_mean,interval_width_std,interval_width_min,interval_width_p05,interval_width_p95,interval_width_max
mutation_depth,log_ec50_prot_Sal10,additive_ridge,10,0.6938906396907466,0.005429133810279019,0.6823738194150545,0.6854668359733134,0.7004088823616336,0.7024041738668472,0.7063554425699099,0.017341822143458033,0.6856944765426393,0.686838456205223,0.7326669748093366,0.7342269470764964,1.2994666548056,0.05226032858608278,1.2240651093208887,1.2390187488175368,1.3811448217061264,1.3898309278249048
mutation_depth,log_ec50_prot_Sal10,biophysical_ridge,10,0.43282414749055864,0.0016993917127768358,0.4292675784196304,0.4301627873491243,0.43486003702026554,0.4356897619564695,0.7587705107464756,0.014577786485791232,0.7395424081349665,0.742142361913566,0.7825860873584469,0.7841460596256067,1.7060148607857548,0.05750772432302569,1.637093092451635,1.6379071497746738,1.802683863692894,1.8072003100011003
mutation_depth,log_ec50_prot_Sal10,mean,10,0.0,0.0,0.0,0.0,0.0,0.0,0.5400277328403051,0.01921605275366592,0.5146752946614283,0.5154032817194361,0.5673676912410446,0.5715276172868038,1.7947551176302585,0.04233189420764251,1.7454431857419115,1.7473949755591567,1.8604224223853454,1.8827086830522877
position_holdout,log_ec50_prot_Sal10,additive_ridge,10,0.401453997326689,0.06573196693338873,0.31516085002044586,0.31536001704164096,0.48566877462976143,0.4876267431120022,0.6551239597601222,0.04302520191489194,0.5491606714628298,0.5858845231507102,0.6897212323272254,0.6911057692307693,1.3395625345540254,0.04184410211847242,1.2503045475500665,1.2720845327311716,1.3851170958998578,1.3946500983540195
position_holdout,log_ec50_prot_Sal10,biophysical_ridge,10,0.37096689011753875,0.06490706238400185,0.273599256615583,0.28960242790741836,0.45957577740106226,0.4799467905608311,0.7891121306678104,0.03713031233798964,0.7050359712230215,0.7252697841726619,0.8276767270041159,0.8298906439854192,1.6899073718299285,0.045198393151242224,1.6124034268053187,1.627071484558599,1.7422472266497067,1.7442982665587765
position_holdout,log_ec50_prot_Sal10,mean,10,0.0,0.0,0.0,0.0,0.0,0.0,0.7793045139557885,0.03175486636931655,0.7206235011990407,0.7359655671689064,0.8197049953850145,0.8201701093560145,1.9293215336071576,0.018077612667341127,1.8924097018143229,1.9039585169826967,1.9520543638096084,1.952129793713958
random_variant,log_ec50_prot_Sal10,additive_ridge,10,0.7947399998662802,0.0084290809545693,0.7808854033465095,0.7833846543731117,0.8040597696279261,0.8046720327103847,0.795088368878357,0.016107114043622767,0.7698788836229594,0.7746182201158505,0.817693522906793,0.8214849921011058,1.3787446430787138,0.036044848553674305,1.3396985891125412,1.3402375541530662,1.4394600912587772,1.4558908094987029
random_variant,log_ec50_prot_Sal10,biophysical_ridge,10,0.5847496238246757,0.009673021755136353,0.5681123496018748,0.5711488325836589,0.5971929654281616,0.5990872013207375,0.7881905772775145,0.017240542325823078,0.7493417588204319,0.7626119010005266,0.8076092680358083,0.808320168509742,1.6259548824042,0.026776164420279892,1.5893321172554131,1.5942389731408202,1.6667962450426383,1.6817941683443323
random_variant,log_ec50_prot_Sal10,mean,10,0.0,0.0,0.0,0.0,0.0,0.0,0.7900572669826225,0.014810469615402614,0.7776041666666667,0.7776822916666667,0.8138493944181148,0.8209583991574513,2.061001705508669,0.02534367103206744,2.0275393945415496,2.030708385224948,2.101473466737422,2.1060322086862415
mutation_depth,log_ec50_prot_Sal25,additive_ridge,10,0.6691783025454827,0.004241217637243945,0.6604816054302393,0.6630955395735876,0.6746287441952772,0.6769792410269855,0.7203374162237115,0.007022890199971094,0.7113473538248208,0.7124913334874047,0.7297665819274324,0.7312225560434481,2.753467369225704,0.03758164926570259,2.6998082516836615,2.7018427426595895,2.7946181858373818,2.798701277381559
mutation_depth,log_ec50_prot_Sal25,biophysical_ridge,10,0.42292377318556645,0.0019606909342657327,0.419043835449897,0.4198614610936865,0.4250257455672105,0.4252145090196843,0.816454818581003,0.00565863554229398,0.8086434018950774,0.8098913797088052,0.8251328865264618,0.8269008550959094,3.513026487851966,0.0430081611524181,3.4537634048244517,3.462466117193517,3.576373387583031,3.582139904981682
mutation_depth,log_ec50_prot_Sal25,mean,10,0.0,0.0,0.0,0.0,0.0,0.0,0.4849318234342501,0.03527511078536502,0.4409521608504738,0.4463600647099607,0.5393690778830598,0.5463369540097065,3.5549770554381226,0.06721566070091894,3.4521767133740244,3.4774432705832425,3.658088643460722,3.7005084986690093
position_holdout,log_ec50_prot_Sal25,additive_ridge,10,0.3894008207681467,0.06564666213797785,0.28205860554707385,0.2982755261853034,0.4783773337826947,0.48435389134578877,0.5854160831951046,0.03660195188810393,0.511990407673861,0.5260054168087158,0.6268424022571544,0.6351515151515151,2.6836895649363246,0.0404397198384226,2.6162197989668137,2.6327890308747346,2.7417494431627305,2.7604096216691403
position_holdout,log_ec50_prot_Sal25,biophysical_ridge,10,0.36087878629426756,0.06648308500450723,0.22961500285290526,0.27046742280005687,0.4483849193964697,0.4497825318881165,0.7565240219356789,0.037421200778168316,0.6798561151079137,0.6933784104791638,0.7969023857865871,0.809801633605601,3.2128486152660387,0.06378850113782118,3.1071958208257815,3.1136535521988877,3.29293817317663,3.3212161855825837
position_holdout,log_ec50_prot_Sal25,mean,10,0.0,0.0,0.0,0.0,0.0,0.0,0.7284781706646436,0.03136401503382711,0.6894484412470024,0.6922862653273608,0.7741657935293792,0.7812879708383961,3.6545339090318825,0.049536433685589194,3.5477574510591507,3.572769454269978,3.706173855569039,3.713472872545351
random_variant,log_ec50_prot_Sal25,additive_ridge,10,0.762886309658646,0.007014646829175492,0.7543985866713837,0.7548988049631566,0.7731568504584388,0.7751445811728667,0.7987641521853608,0.015511397026073265,0.7719852553975777,0.7745918904686677,0.8193786203264877,0.8241179568193786,2.6608294626199074,0.03224957411812423,2.6126799362768622,2.6182140125984668,2.7092119141771414,2.713646653525359
random_variant,log_ec50_prot_Sal25,biophysical_ridge,10,0.579068786257048,0.008880163998412814,0.5665420051109098,0.5680582421550106,0.5904658979008465,0.5925135542766032,0.7917296932596104,0.014809959705844398,0.7619799894681412,0.7704171192074777,0.8118746708794102,0.8130595050026329,3.0617877079387235,0.03615160852488293,3.0085596069954432,3.0218975764673224,3.123582279125404,3.136759139319304
random_variant,log_ec50_prot_Sal25,mean,10,0.0,0.0,0.0,0.0,0.0,0.0,0.7951485156661402,0.01427489810815982,0.7761979989468141,0.7764349657714587,0.8173775671406003,0.8230647709320695,3.900477835219847,0.044375463125939395,3.8469452746276467,3.8523813388984935,3.972491121211268,3.9752184145425558
