seed,target,model,random_spearman,position_spearman,spearman_gap,random_coverage,position_coverage,coverage_gap
42,log_ec50_prot_Sal10,additive_ridge,0.7864392945167366,0.4155391467889572,0.37090014772777935,0.8130595050026329,0.6911057692307693,0.12195373577186364
43,log_ec50_prot_Sal10,additive_ridge,0.79226316481629,0.38343821768011777,0.40882494713617223,0.7867298578199052,0.6307692307692307,0.15596062705067448
44,log_ec50_prot_Sal10,additive_ridge,0.8019588644201755,0.4340035347242852,0.3679553296958903,0.8214849921011058,0.686060606060606,0.13542438604049978
45,log_ec50_prot_Sal10,additive_ridge,0.8033114480826989,0.4876267431120022,0.31568470497069673,0.7804107424960506,0.6682867557715675,0.1121239867244831
46,log_ec50_prot_Sal10,additive_ridge,0.7874323516730838,0.369824497548164,0.4176078541249198,0.7935755660874144,0.6320754716981132,0.16150009438930124
47,log_ec50_prot_Sal10,additive_ridge,0.8046720327103847,0.483275702040356,0.32139633067002865,0.7956819378620327,0.6814469078179697,0.11423503004406299
48,log_ec50_prot_Sal10,additive_ridge,0.7985776978966274,0.4656159949631304,0.332961702933497,0.8056872037914692,0.6880290205562273,0.11765818323524191
49,log_ec50_prot_Sal10,additive_ridge,0.7808854033465095,0.31516085002044586,0.4657245533260636,0.7698788836229594,0.5491606714628298,0.22071821216012966
50,log_ec50_prot_Sal10,additive_ridge,0.8021455823998057,0.31560344340087937,0.48654213899892634,0.8036458333333333,0.6600985221674877,0.14354731116584563
51,log_ec50_prot_Sal10,additive_ridge,0.7897141588004902,0.3444518429885525,0.4452623158119377,0.7807291666666667,0.6642066420664207,0.11652252460024604
42,log_ec50_prot_Sal10,biophysical_ridge,0.5796828088679641,0.3976423532478807,0.18204045562008336,0.808320168509742,0.7920673076923077,0.016252860817434267
43,log_ec50_prot_Sal10,biophysical_ridge,0.5916354149773475,0.3338324463858705,0.257802968591477,0.7819905213270142,0.8094674556213017,-0.027476934294287547
44,log_ec50_prot_Sal10,biophysical_ridge,0.590807101303416,0.3945625297855017,0.19624457151791425,0.7977883096366508,0.7866666666666666,0.011121642969984191
45,log_ec50_prot_Sal10,biophysical_ridge,0.5990872013207375,0.4799467905608311,0.11914041075990633,0.8067403896787783,0.8298906439854192,-0.02315025430664097
46,log_ec50_prot_Sal10,biophysical_ridge,0.5794205345664561,0.3402740426693539,0.23914649189710224,0.7788309636650869,0.75,0.02883096366508686
47,log_ec50_prot_Sal10,biophysical_ridge,0.574860089561395,0.4346778724280115,0.14018221713338352,0.7888362295945235,0.8249708284714119,-0.03613459887688841
48,log_ec50_prot_Sal10,biophysical_ridge,0.5812613768651723,0.423398224442387,0.1578631524227853,0.7862032648762507,0.8053204353083434,-0.01911717043209271
49,log_ec50_prot_Sal10,biophysical_ridge,0.5681123496018748,0.273599256615583,0.29451309298629186,0.7493417588204319,0.7050359712230215,0.04430578759741033
50,log_ec50_prot_Sal10,biophysical_ridge,0.5877515729562688,0.32257352555363944,0.26517804740262935,0.7828125,0.8017241379310345,-0.018911637931034453
51,log_ec50_prot_Sal10,biophysical_ridge,0.5948777882261245,0.3091618594863283,0.2857159287397962,0.8010416666666667,0.7859778597785978,0.015063806888068854
42,log_ec50_prot_Sal10,mean,0.0,0.0,0.0,0.8209583991574513,0.8088942307692307,0.012064168388220553
43,log_ec50_prot_Sal10,mean,0.0,0.0,0.0,0.7788309636650869,0.7680473372781065,0.010783626386980383
44,log_ec50_prot_Sal10,mean,0.0,0.0,0.0,0.8030542390731964,0.7612121212121212,0.04184211786107517
45,log_ec50_prot_Sal10,mean,0.0,0.0,0.0,0.7830437072143234,0.8201701093560145,-0.03712640214169116
46,log_ec50_prot_Sal10,mean,0.0,0.0,0.0,0.7793575566087414,0.7547169811320755,0.02464057547666587
47,log_ec50_prot_Sal10,mean,0.0,0.0,0.0,0.7898894154818326,0.8191365227537923,-0.029247107271959782
48,log_ec50_prot_Sal10,mean,0.0,0.0,0.0,0.8051606108478147,0.7968561064087062,0.008304504439108462
49,log_ec50_prot_Sal10,mean,0.0,0.0,0.0,0.7777777777777778,0.7206235011990407,0.05715427657873706
50,log_ec50_prot_Sal10,mean,0.0,0.0,0.0,0.7776041666666667,0.7746305418719212,0.0029736247947454997
51,log_ec50_prot_Sal10,mean,0.0,0.0,0.0,0.7848958333333333,0.7687576875768758,0.016138145756457556
42,log_ec50_prot_Sal25,additive_ridge,0.759101316032604,0.38905717799477474,0.37004413803782926,0.8067403896787783,0.5733173076923077,0.23342308198647055
43,log_ec50_prot_Sal25,additive_ridge,0.7574982212046077,0.3767492276625776,0.3807489935420301,0.8041074249605056,0.6,0.2041074249605056
44,log_ec50_prot_Sal25,additive_ridge,0.7751445811728667,0.42649594276054703,0.34864863841231963,0.8135860979462876,0.6351515151515151,0.17843458279477242
45,log_ec50_prot_Sal25,additive_ridge,0.760943929898508,0.47107265231669093,0.2898712775818171,0.8241179568193786,0.543134872417983,0.28098308440139563
46,log_ec50_prot_Sal25,additive_ridge,0.7543985866713837,0.3571987443791019,0.39719984229228184,0.7719852553975777,0.5695754716981132,0.2024097836994645
47,log_ec50_prot_Sal25,additive_ridge,0.7707274018074715,0.48435389134578877,0.2863735104616827,0.7935755660874144,0.6067677946324388,0.18680777145497562
