model,mean_spearman,bootstrap_mean,ci_lower,ci_upper,proteins,assays,success_lower_bound_above_zero
masked_marginal,0.10511836111313791,0.10502511500968738,0.03363951213512455,0.18313181243331014,10,21,True
wild_type_marginal,0.10323068054661122,0.10318642137086688,0.03507698591679585,0.17650871762695133,10,21,True
masked_minus_wild_type,0.0018876805665266894,0.0018386936388205047,-0.005671611267311116,0.00999364189243632,10,21,False
