split,seed,model,source_condition,target_condition,source_spearman,transfer_spearman,transfer_gap,assay_spearman,train_rows,test_rows,exact_variant_overlap,shared_position_count
position_holdout,42,additive_ridge,mean_y_S10,mean_y_S10,0.424558646007695,0.424558646007695,0.0,1.0,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S10,mean_y_S11,0.424558646007695,0.42322112821801866,0.0013375177896763346,0.9993412110748215,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S10,mean_y_S12,0.424558646007695,0.4225757159292487,0.001982930078446299,0.9989372658255193,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S10,mean_y_S15,0.424558646007695,0.3939211896922057,0.03063745631548931,0.8869691308903456,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S10,mean_y_S16,0.424558646007695,0.4021114416330265,0.022447204374668517,0.9015634162579224,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S10,mean_y_S17,0.424558646007695,0.409145093749802,0.015413552257892982,0.9137989339029141,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S10,mean_y_S18,0.424558646007695,0.4123827398218382,0.012175906185856789,0.9248413055863834,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S10,mean_y_S19,0.424558646007695,0.41408890687627453,0.010469739131420464,0.9306334933306841,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S10,mean_y_S20,0.424558646007695,0.41549912105914294,0.009059524948552056,0.938662288019901,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S10,mean_y_S21,0.424558646007695,0.42000154685589874,0.004557099151796251,0.950988129214474,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S10,mean_y_S22,0.424558646007695,0.4214663302143962,0.003092315793298772,0.9592959788747489,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S10,mean_y_S23,0.424558646007695,0.4212209668649465,0.0033376791427485175,0.9616482041303053,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S10,mean_y_S24,0.424558646007695,0.4216902534410043,0.0028683925666906918,0.9620198120903458,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S10,mean_y_S3,0.424558646007695,0.2576301209181257,0.1669285250895693,0.6234194941514511,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S10,mean_y_S4,0.424558646007695,0.3099771080328827,0.1145815379748123,0.7258744861454718,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S10,mean_y_S5,0.424558646007695,0.3605577957370118,0.0640008502706832,0.817440854431192,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S10,mean_y_S6,0.424558646007695,0.40290985180520417,0.02164879420249083,0.8944885090942792,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S10,mean_y_S7,0.424558646007695,0.4220709250098262,0.002487720997868814,0.9445914091823899,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S10,mean_y_S8,0.424558646007695,0.42706647363194095,-0.0025078276242459507,0.97988666446862,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S10,mean_y_S9,0.424558646007695,0.4271802375490602,-0.002621591541365209,0.9965294921078678,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S11,mean_y_S10,0.4265282827932617,0.42792032808680264,-0.0013920452935409222,0.9993412110748215,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S11,mean_y_S11,0.4265282827932617,0.4265282827932617,0.0,1.0,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S11,mean_y_S12,0.4265282827932617,0.4258595134804825,0.0006687693127792049,0.9999310749014962,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S11,mean_y_S15,0.4265282827932617,0.3972749124642915,0.02925337032897024,0.8799060376719419,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S11,mean_y_S16,0.4265282827932617,0.4053782787761036,0.02115000401715811,0.8945161583100334,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S11,mean_y_S17,0.4265282827932617,0.4123088557833575,0.014219427009904195,0.9067175884516538,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S11,mean_y_S18,0.4265282827932617,0.41546857565575523,0.01105970713750648,0.9176070039234799,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S11,mean_y_S19,0.4265282827932617,0.4172777761479488,0.009250506645312906,0.9233140562528817,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S11,mean_y_S20,0.4265282827932617,0.4188646161047035,0.007663666688558224,0.9319044613124339,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S11,mean_y_S21,0.4265282827932617,0.4234745758897838,0.003053706903477893,0.9458739202429098,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S11,mean_y_S22,0.4265282827932617,0.42502782840434145,0.0015004543889202693,0.9560842943120041,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S11,mean_y_S23,0.4265282827932617,0.4247605040349936,0.0017677787582681126,0.9594557484198901,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S11,mean_y_S24,0.4265282827932617,0.4252173515893444,0.0013109312039173426,0.9601168292921168,5552,832,0,0
position_holdout,42,additive_ridge,mean_y_S11,mean_y_S3,0.4265282827932617,0.2631212509997057,0.16340703179355603,0.615755744119364,5552,832,0,0
