model,evaluation_type,n_assays,n_proteins,random_spearman_mean,position_spearman_mean,subset_spearman_difference_mean,subset_spearman_difference_ci_low,subset_spearman_difference_ci_high,subset_normalized_rmse_difference_mean,bootstrap_unit,bootstrap_repeats
ESM1v_ensemble,zero_shot_fixed_scores,195,169,0.40375404078791793,0.3953749759471654,0.00837906484075253,0.003233737827215155,0.013567291395323366,0.016070604841402773,UniProt_ID,10000
ESM2_150M,zero_shot_fixed_scores,195,169,0.39312394174012033,0.3850760028558811,0.008047938884239167,0.0030025110561146206,0.013339260931791856,-0.002622646260131406,UniProt_ID,10000
ESM2_15B,zero_shot_fixed_scores,195,169,0.4106468275192454,0.40201804734611096,0.008628780173134374,0.003496303909673177,0.013685687197391692,0.03586777414021712,UniProt_ID,10000
ESM2_35M,zero_shot_fixed_scores,195,169,0.3138334773661347,0.30520136911570583,0.008632108250428922,0.0029717007836477967,0.014426263352034133,-0.002961221704798081,UniProt_ID,10000
ESM2_3B,zero_shot_fixed_scores,195,169,0.420885716077214,0.4124572895036567,0.008428426573557362,0.002637810335183153,0.014387654365358382,-0.017318466828289008,UniProt_ID,10000
ESM2_650M,zero_shot_fixed_scores,195,169,0.4271729850276981,0.4197500641506037,0.007422920877094493,0.0022897604665011073,0.01281325015419692,-0.006222133558716976,UniProt_ID,10000
ESM2_8M,zero_shot_fixed_scores,195,169,0.20290160273121688,0.20012738972553523,0.002774213005681625,-0.0026311154481315547,0.008389093880908303,0.022708167888520987,UniProt_ID,10000
