model,n_assays,n_proteins,random_spearman_mean,position_spearman_mean,spearman_gap_mean,spearman_gap_median,spearman_gap_ci_low,spearman_gap_ci_high,proteins_with_positive_gap_fraction,coverage_gap_mean,normalized_rmse_gap_mean,bootstrap_unit,bootstrap_repeats
additive_ridge,195,169,0.6171870551295954,0.35102670981599576,0.2661603453135996,0.26015485489324147,0.24647780538411307,0.28688692556778395,1.0,0.10377484331645467,-0.14899099364542995,UniProt_ID,10000
biophysical_ridge,195,169,0.371419099036653,0.3238103550551763,0.04760874398147667,0.029476102476160494,0.03898007139872945,0.05704326052310061,0.8284023668639053,0.01826363451281649,-0.030715562351530622,UniProt_ID,10000
mean,195,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024330676212585864,-0.005370795615448862,UniProt_ID,10000
