assay_id,uniprot_id,taxon,coarse_selection_type,seed,model,random_spearman,position_spearman,spearman_gap,random_observed_coverage,position_observed_coverage,observed_coverage_gap,random_normalized_rmse,position_normalized_rmse,normalized_rmse_gap
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,42,additive_ridge,0.5124746301093033,0.36069960077616886,0.15177502933313441,0.8006263048016702,0.7410109431995832,0.059615361602087025,0.9604689432971445,1.3620234243214508,-0.40155448102430635
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,43,additive_ridge,0.5552951251670842,0.36901148631135544,0.1862836388557288,0.785490605427975,0.7821782178217822,0.0033123876061927904,0.9045414909870729,0.7735016375602193,0.13103985342685365
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,44,additive_ridge,0.5193449714240134,0.3614560058408288,0.15788896558318455,0.8058455114822547,0.7436164669098488,0.062229044572405856,0.7562132594883051,1.4080292746218923,-0.6518160151335872
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,45,additive_ridge,0.5297583073775171,0.3168441521207441,0.21291415525677293,0.7755741127348643,0.7738405419489317,0.0017335707859326144,0.9305421727198403,0.9907944886464491,-0.060252315926608846
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,46,additive_ridge,0.5526826816598139,0.32437217134945473,0.2283105103103592,0.8058455114822547,0.7436164669098488,0.062229044572405856,0.9691704214207791,1.1553282050532288,-0.1861577836324496
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,47,additive_ridge,0.5342231027550235,0.35392533252351077,0.18029777023151272,0.7901878914405011,0.7769671704012506,0.013220721039250427,0.9080318674043062,1.0745747333589581,-0.16654286595465195
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,48,additive_ridge,0.5593110709452898,0.32202935656333864,0.23728171438195111,0.8100208768267223,0.764460656591975,0.04556022023474726,1.1199259674721067,1.0483731695048937,0.07155279796721303
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,49,additive_ridge,0.549086877572971,0.29667726785164106,0.25240960972133,0.8136743215031316,0.7514330380406462,0.062241283462485364,0.9870816578172164,1.2453304530449545,-0.25824879522773814
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,50,additive_ridge,0.5315952876277064,0.33121727303280235,0.200378014594904,0.7818371607515657,0.7628973423658155,0.018939818385750207,0.9905138142269558,1.0288977423157097,-0.038383928088753905
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,Virus,OrganismalFitness,51,additive_ridge,0.5204197069867246,0.3241496660093538,0.19627004097737077,0.7948851774530271,0.7748827514330381,0.020002426019989028,0.9214937311293574,1.1523072906097893,-0.23081355948043192
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,42,additive_ridge,0.7497845054373652,0.4238969995270135,0.3258875059103517,0.7925278219395866,0.6559011164274322,0.1366267055121544,0.7277934990931735,0.870411896123034,-0.14261839702986057
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,43,additive_ridge,0.7429533789416699,0.4707022599615489,0.272251118980121,0.831081081081081,0.6689270043877144,0.16215407669336668,0.7086656959384076,0.9191648358518477,-0.21049913991344016
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,44,additive_ridge,0.7315779430113826,0.4093546846797657,0.32222325833161686,0.7909379968203497,0.6582934609250398,0.1326445358953099,0.7378152682048071,0.9056338087822843,-0.16781854057747714
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,45,additive_ridge,0.7574692334235754,0.365528467198217,0.3919407662253584,0.7821939586645469,0.6689270043877144,0.11326695427683253,0.7226232535294833,0.9094963114084985,-0.1868730578790152
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,46,additive_ridge,0.7376911115550302,0.380903240236295,0.3567878713187352,0.8032591414944356,0.6846092503987241,0.11864989109571145,0.7167407525054998,0.8737296429753886,-0.15698889046988873
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,47,additive_ridge,0.7433378645416798,0.4242094999126149,0.3191283646290649,0.7937201907790143,0.689270043877144,0.10445014690187038,0.7347685295577747,0.8681390401351067,-0.13337051057733196
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,48,additive_ridge,0.7329527103755601,0.35802066235761076,0.3749320480179493,0.7881558028616852,0.6527113237639554,0.13544447909772983,0.7185083895097675,0.9173283400149613,-0.19881995050519385
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,49,additive_ridge,0.7249230321130268,0.3799236697918316,0.34499936232119516,0.7798092209856916,0.64792663476874,0.1318825862169516,0.7278984234418427,0.9311576636123045,-0.2032592401704617
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,50,additive_ridge,0.7316066378220969,0.4320132499806302,0.2995933878414667,0.775039745627981,0.6960510570402872,0.0789886885876937,0.7238615574326807,0.8681505436129826,-0.14428898618030195
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,Virus,OrganismalFitness,51,additive_ridge,0.7451912449235528,0.38678628884987537,0.35840495607367745,0.8068362480127186,0.6690590111642744,0.13777723684844423,0.7269079757337399,0.909531378949496,-0.1826234032157561
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Prokaryote,Activity,42,additive_ridge,0.11764750477902282,0.08992171524783604,0.027725789531186776,0.7513513513513513,0.7967032967032966,-0.04535194535194531,1.0327551040288658,1.0744916208625654,-0.04173651683369961
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Prokaryote,Activity,43,additive_ridge,0.14547727193096943,0.04287276651829641,0.10260450541267302,0.7837837837837838,0.7777777777777778,0.006006006006005982,1.0142392952253951,0.8977047419416613,0.11653455328373385
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Prokaryote,Activity,44,additive_ridge,0.17371317127535557,0.04528352555808042,0.12842964571727516,0.8378378378378378,0.8172043010752689,0.02063353676256896,1.020743936228185,0.9097195791379935,0.11102435709019143
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Prokaryote,Activity,45,additive_ridge,0.09876151279477616,0.10545317849542407,-0.006691665700647914,0.8594594594594595,0.8895027624309392,-0.030043302971479724,1.0050629189399216,0.9930472348597366,0.012015684080185052
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Prokaryote,Activity,46,additive_ridge,0.21972378756104355,0.07288347645127027,0.14684031110977327,0.7189189189189189,0.8128342245989305,-0.09391530568001161,1.0177009877524044,0.9910269687069263,0.02667401904547806
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Prokaryote,Activity,47,additive_ridge,0.07750008884277665,0.08332292096015413,-0.005822832117377483,0.8054054054054054,0.7849462365591398,0.02045916884626564,1.00936332620665,1.1033777785216947,-0.0940144523150448
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Prokaryote,Activity,48,additive_ridge,0.15006560128365293,0.08380637959857198,0.06625922168508094,0.8054054054054054,0.7647058823529411,0.04069952305246427,1.0142896621316595,1.14575753071864,-0.13146786858698056
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Prokaryote,Activity,49,additive_ridge,0.11865391376582321,0.07234408154737569,0.04630983221844752,0.8,0.842391304347826,-0.04239130434782601,1.0273466900424308,1.158063882863256,-0.13071719282082506
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Prokaryote,Activity,50,additive_ridge,0.18877654972371613,0.1305944189928428,0.05818213073087333,0.8054054054054054,0.8021978021978022,0.00320760320760316,1.0411683419204996,0.9525514144127344,0.08861692750776518
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,Prokaryote,Activity,51,additive_ridge,-0.02473184971930646,0.04017307214998376,-0.06490492186929021,0.8378378378378378,0.7700534759358288,0.06778436190200898,0.9562156485629728,1.0399090907187207,-0.08369344215574792
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,Prokaryote,Activity,42,additive_ridge,0.5937841761280578,0.3064089607365957,0.2873752153914621,0.7794561933534743,0.7523219814241486,0.027134211929325636,0.9021789885414894,0.9455472207065565,-0.04336823216506713
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,Prokaryote,Activity,43,additive_ridge,0.5659109372034781,0.30397476480841545,0.2619361723950626,0.8610271903323263,0.7337461300309598,0.12728106030136654,0.7999339866352438,0.8170840304997244,-0.017150043864480602
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,Prokaryote,Activity,44,additive_ridge,0.5888625341557081,0.34086175189395157,0.24800078226175654,0.8036253776435045,0.7461300309597523,0.057495346683752224,0.804457391462051,0.9459023998248248,-0.14144500836277385
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,Prokaryote,Activity,45,additive_ridge,0.5762514078970489,0.31826831927787647,0.2579830886191724,0.8640483383685801,0.7461300309597523,0.1179183074088278,0.7851871352480128,0.9407748640326544,-0.15558772878464167
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,Prokaryote,Activity,46,additive_ridge,0.5886063247275575,0.162005803732235,0.4266005209953225,0.7734138972809668,0.6718266253869969,0.10158727189396988,0.7705274458009793,0.9976828353282364,-0.2271553895272571
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,Prokaryote,Activity,47,additive_ridge,0.5839777057125285,0.35880037893116523,0.22517732678136326,0.7643504531722054,0.8513931888544891,-0.08704273568228371,0.8101448493766211,0.7261378134295616,0.0840070359470595
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,Prokaryote,Activity,48,additive_ridge,0.5311034407678047,0.2890039819640035,0.24209945880380118,0.8308157099697885,0.7430340557275542,0.08778165424223427,0.7477486905086554,0.8656785316289609,-0.11792984112030547
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,Prokaryote,Activity,49,additive_ridge,0.5033144993843803,0.35603394675948186,0.14728055262489848,0.7734138972809668,0.7368421052631579,0.03657179201780891,0.7765714762332175,0.9019886555298673,-0.12541717929664975
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,Prokaryote,Activity,50,additive_ridge,0.5229527196561053,0.48756660050239264,0.0353861191537127,0.824773413897281,0.6068111455108359,0.21796226838644506,0.821695936399607,1.1480416175335395,-0.3263456811339325
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,Prokaryote,Activity,51,additive_ridge,0.5937235276117843,0.483521784611072,0.11020174300071228,0.7764350453172205,0.718266253869969,0.05816879144725151,0.7833386062726295,0.9400538468271346,-0.15671524055450503
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,Virus,OrganismalFitness,42,additive_ridge,0.7449383361760861,0.3635368479625903,0.3814014882134958,0.8002799813345777,0.6607642124883504,0.1395157688462273,0.7180029388469941,0.9373690572035487,-0.21936611835655462
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,Virus,OrganismalFitness,43,additive_ridge,0.7256434770020308,0.3615873220775008,0.36405615492453003,0.7984134391040597,0.6435228331780056,0.15489060592605408,0.7446181990690114,0.9761923530073965,-0.2315741539383851
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,Virus,OrganismalFitness,44,additive_ridge,0.7277495506250223,0.372237755373601,0.35551179525142135,0.8105459636024265,0.6231951560316721,0.1873508075707544,0.7326996842053398,0.9338653705608825,-0.20116568635554266
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,Virus,OrganismalFitness,45,additive_ridge,0.7342061402325398,0.36138135250209574,0.3728247877304441,0.7932804479701353,0.6031672100605496,0.19011323790958568,0.7406601871112286,0.973395037845664,-0.23273485073443534
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,Virus,OrganismalFitness,46,additive_ridge,0.7257651545793935,0.4442359496363162,0.2815292049430773,0.8217452169855343,0.6418258034466697,0.17991941353886454,0.7310348905378369,0.959398437897263,-0.2283635473594261
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,Virus,OrganismalFitness,47,additive_ridge,0.7483710187538567,0.3265935341196732,0.4217774846341835,0.8189454036397573,0.6323392357875116,0.1866061678522457,0.7197286535803843,0.967163896848317,-0.24743524326793276
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,Virus,OrganismalFitness,48,additive_ridge,0.7456274534872976,0.44371540347705435,0.3019120500102433,0.8133457769482034,0.6604564508616675,0.15288932608653594,0.7358764746635915,0.8835316359303853,-0.1476551612667938
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,Virus,OrganismalFitness,49,additive_ridge,0.7297760275644096,0.4036153010076206,0.326160726556789,0.8133457769482034,0.6418258034466697,0.1715199735015337,0.7284259046220606,0.9145017869186675,-0.18607588229660688
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,Virus,OrganismalFitness,50,additive_ridge,0.7283947019862125,0.40956784991283807,0.3188268520733744,0.7811479234717685,0.6276794035414726,0.15346851993029598,0.7506106227898394,0.9466644111337085,-0.1960537883438691
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,Virus,OrganismalFitness,51,additive_ridge,0.7189443345470463,0.3370704137994037,0.3818739207476426,0.8175454969668688,0.6367023754075454,0.18084312155932347,0.7320926834274281,0.9386502181188344,-0.20655753469140636
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,Virus,OrganismalFitness,42,additive_ridge,0.3039612913017922,0.378313440706652,-0.07435214940485979,0.8085106382978723,0.8270833333333333,-0.018572695035460995,0.9138616195196166,1.3503451684711514,-0.43648354895153474
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,Virus,OrganismalFitness,43,additive_ridge,0.3591535895485076,0.2890936040719143,0.07005998547659331,0.7702127659574468,0.8463157894736842,-0.07610302351623743,1.1020976007530727,1.1527238426190483,-0.05062624186597553
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,Virus,OrganismalFitness,44,additive_ridge,0.33632896145589686,0.29005933164263686,0.046269629813259994,0.823404255319149,0.7552301255230126,0.06817412979613635,0.535158862042418,0.9363733344067792,-0.40121447236436114
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,Virus,OrganismalFitness,45,additive_ridge,0.402036968562712,0.344262536376063,0.05777443218664896,0.7957446808510639,0.8259911894273128,-0.030246508576248887,1.1700413709678288,1.6772535975085354,-0.5072122265407066
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,Virus,OrganismalFitness,46,additive_ridge,0.36799964657772627,0.376814500827666,-0.008814854249939719,0.776595744680851,0.8245243128964059,-0.04792856821555491,0.7969947221039246,1.0104474894031885,-0.21345276729926388
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,Virus,OrganismalFitness,47,additive_ridge,0.35343233071357555,0.2805401584703521,0.07289217224322347,0.8297872340425532,0.8050314465408805,0.02475578750167262,0.5879051850841686,1.760483014400713,-1.1725778293165445
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,Virus,OrganismalFitness,48,additive_ridge,0.2894839882205389,0.3246554722868417,-0.03517148406630283,0.7702127659574468,0.79004329004329,-0.019830524085843182,1.1056309088888059,0.6715017359573363,0.4341291729314696
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,Virus,OrganismalFitness,49,additive_ridge,0.37726291119468974,0.24238492355264343,0.1348779876420463,0.8063829787234043,0.7695560253699789,0.03682695335342534,0.8984417013222107,0.8259083582074971,0.0725333431147136
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,Virus,OrganismalFitness,50,additive_ridge,0.36220708988223194,0.3346332501923541,0.02757383968987781,0.8127659574468085,0.7634408602150538,0.04932509723175471,1.4769285716376366,0.6909354247630619,0.7859931468745747
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,Virus,OrganismalFitness,51,additive_ridge,0.36552000099066884,0.2754048885900729,0.09011511240059594,0.8063829787234043,0.8218029350104822,-0.01541995628707793,1.039161565806377,0.8505866513594825,0.18857491444689456
