assay_id,uniprot_id,taxon,coarse_selection_type,model,n_seeds,random_spearman,position_spearman,spearman_gap,random_observed_coverage,position_observed_coverage,observed_coverage_gap,random_normalized_rmse,position_normalized_rmse,normalized_rmse_gap
SAV1_MOUSE_Tsuboyama_2023_2YSB,SAV1_MOUSE,Eukaryote,Stability,additive_ridge,10,0.7165722055245455,-0.3048666171351205,1.021438822659666,0.7757352941176471,0.5922015975086523,0.1835336966089947,0.8274480849304766,1.0794749449388987,-0.2520268600084223
RAD_ANTMA_Tsuboyama_2023_2CJJ,RAD_ANTMA,Eukaryote,Stability,additive_ridge,10,0.5824017917566304,-0.111604010190458,0.6940058019470884,0.8038709677419356,0.7120583428039613,0.09181262493797417,0.8498010591275598,1.064730637127441,-0.21492957799988116
THO1_YEAST_Tsuboyama_2023_2WQG,THO1_YEAST,Eukaryote,Stability,additive_ridge,10,0.6390299134373059,0.08472263489210988,0.554307278545196,0.8121212121212121,0.6157863991391165,0.19633481298209565,0.8328783396966986,1.0575206540076962,-0.22464231431099774
P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,Human,OrganismalFitness,additive_ridge,10,0.7985445444185727,0.2637146987474115,0.5348298456711612,0.7939089692101741,0.6457694870086609,0.14813948220151313,0.7284079913150595,0.9600907151878604,-0.2316827238728007
ESTA_BACSU_Nutschel_2020,ESTA_BACSU,Prokaryote,Stability,additive_ridge,10,0.5824957865427371,0.0491617811034106,0.5333340054393265,0.8050574712643679,0.7210233858820725,0.08403408538229537,0.8707730044970177,0.9868860396314971,-0.11611303513447949
ODP2_GEOSE_Tsuboyama_2023_1W4G,ODP2_GEOSE,Prokaryote,Stability,additive_ridge,10,0.6286607064925998,0.12111698584964328,0.5075437206429564,0.8082089552238806,0.6587403658584257,0.14946858936545487,0.8665391965147519,1.0840279777102289,-0.21748878119547696
VILI_CHICK_Tsuboyama_2023_1YU5,VILI_CHICK,Eukaryote,Stability,additive_ridge,10,0.6970181921058949,0.20550516934594465,0.49151302275995035,0.8145228215767635,0.5751802045221533,0.2393426170546101,0.7438024387797069,0.9634468545438495,-0.21964441576414268
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,Prokaryote,Stability,additive_ridge,10,0.6680783335762596,0.17758309460973784,0.4904952389665217,0.7837078651685394,0.6472876376926032,0.13642022747593613,0.8369253423382599,0.9494332110312721,-0.11250786869301219
PITX2_HUMAN_Tsuboyama_2023_2L7M,PITX2_HUMAN,Human,Stability,additive_ridge,10,0.6758608794904164,0.18553097713037175,0.4903299023600446,0.8138297872340425,0.6503630339711428,0.16346675326289975,0.757280097987682,0.9318029749634154,-0.1745228769757332
HECD1_HUMAN_Tsuboyama_2023_3DKM,HECD1_HUMAN,Human,Stability,additive_ridge,10,0.7298869801787797,0.2600262901751499,0.4698606900036298,0.8128514056224899,0.610062360644433,0.2027890449780569,0.7595325870225512,0.9470032960000235,-0.18747070897747223
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,Human,Stability,additive_ridge,10,0.6736554872762998,0.20563492211481632,0.4680205651614835,0.8135869565217391,0.6387838262382206,0.17480313028351852,0.7199639818326347,0.9434942299000152,-0.22353024806738056
MBD11_ARATH_Tsuboyama_2023_6ACV,MBD11_ARATH,Eukaryote,Stability,additive_ridge,10,0.743373897466851,0.2768548578460178,0.4665190396208332,0.7995670995670996,0.5868093279095884,0.21275777165751117,0.7423015098250867,0.9916646225471448,-0.249363112722058
SPIKE_SARS2_Starr_2020_expression,SPIKE_SARS2,Virus,Expression,additive_ridge,10,0.7583592444383083,0.3018946255012952,0.45646461893701307,0.810921052631579,0.6007034317561777,0.21021762087540133,0.71917524423466,0.9531865877625446,-0.23401134352788472
GAL4_YEAST_Kitzman_2015,GAL4_YEAST,Eukaryote,OrganismalFitness,additive_ridge,10,0.6302013050407748,0.17455366938335679,0.455647635657418,0.7748953974895397,0.6739378513867339,0.10095754610280583,0.8597716385233133,0.9614143690440813,-0.10164273052076804
OTU7A_HUMAN_Tsuboyama_2023_2L2D,OTU7A_HUMAN,Human,Stability,additive_ridge,10,0.6622738563929509,0.210032949652366,0.45224090674058487,0.8070866141732284,0.7231684433635099,0.08391817080971839,0.8127793363593806,0.9661939956768236,-0.15341465931744316
BLAT_ECOLX_Deng_2012,BLAT_ECOLX,Prokaryote,OrganismalFitness,additive_ridge,10,0.72505736749699,0.2793826552804234,0.4456747122165667,0.8013999999999999,0.6449520355523266,0.15644796444767345,0.7712554325951713,0.9440115091381557,-0.1727560765429844
TCRG1_MOUSE_Tsuboyama_2023_1E0L,TCRG1_MOUSE,Eukaryote,Stability,additive_ridge,10,0.6034955453149001,0.16445101342151486,0.43904453189338516,0.8088,0.5928995558811204,0.21590044411887965,0.7935076010862339,1.1003945513562285,-0.3068869502699948
KCNE1_HUMAN_Muhammad_2023_function,KCNE1_HUMAN,Human,Activity,additive_ridge,10,0.6398107515482951,0.20236399473145852,0.43744675681683665,0.8099352051835853,0.6484251673651307,0.16151003781845463,0.7767588929153841,0.9740979806284867,-0.1973390877131025
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,Human,OrganismalFitness,additive_ridge,10,0.6389584952961627,0.20419438943196305,0.43476410586419967,0.7972860125260961,0.6582634209108751,0.13902259161522088,0.8014587097962071,0.9544230958161156,-0.1529643860199086
NUD15_HUMAN_Suiter_2020,NUD15_HUMAN,Human,Expression,additive_ridge,10,0.6832979907006558,0.2536748784890168,0.42962311221163896,0.7929701230228471,0.6244776829296692,0.1684924400931779,0.7691340700385652,0.9700847498267928,-0.2009506797882275
CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,Prokaryote,Activity,additive_ridge,10,0.7675561464691517,0.3407662638103563,0.42678988265879536,0.8016949152542374,0.5190808999715204,0.2826140152827169,0.6909491177883144,0.9994893787738416,-0.3085402609855272
TRPC_THEMA_Chan_2017,TRPC_THEMA,Prokaryote,OrganismalFitness,additive_ridge,10,0.672592325916445,0.2467943589527933,0.42579796696365174,0.8006578947368421,0.6832562532569046,0.11740164147993748,0.7949296703241895,1.0099919663067136,-0.21506229598252408
OBSCN_HUMAN_Tsuboyama_2023_1V1C,OBSCN_HUMAN,Human,Stability,additive_ridge,10,0.6526609864165751,0.22753607971683137,0.42512490669974373,0.8020576131687243,0.6201137538474618,0.18194385932126247,0.7073458027408485,0.9665617695294415,-0.25921596678859304
