fold,estimator,fit_rows,calibration_rows,test_rows,fit_groups,calibration_groups,calibration_tasks,test_groups,conformal_quantile,decision_shrinkage,override_margin,priority_weights,policy_inner_audit,median_predicted_error_scale,error_scale_floor,parameters
0,histgb,726,210,234,86,22,35,24,2.4217681661077815,1.0,0.05,"{""decision_score"": 0.25, ""log_msa_neff"": 1.0, ""log_protein_length"": 0.5}","{""best_mean_regret"": 0.05938856615943677, ""best_regret_coverage_auc"": 0.058601268313465564, ""candidate_count"": 12, ""selected_policy"": {""baseline_model"": ""vespag"", ""decision_mean"": 0.6196223027124502, ""decision_shrinkage"": 1.0, ""decision_std"": 0.11799516868028471, ""log_msa_neff_mean"": 8.433787480586687, ""log_msa_neff_std"": 2.0789790832160278, ""log_protein_length_mean"": 5.24639183588041, ""log_protein_length_std"": 1.1382764420519862, ""override_margin"": 0.05}}",0.20005093432815074,0.007240750791390527,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_iter"": 500, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}"
1,histgb,678,258,234,84,21,43,27,2.293703243355385,0.75,0.05,"{""decision_score"": 0.25, ""log_msa_neff"": 1.0, ""log_protein_length"": 0.5}","{""best_mean_regret"": 0.0564752448966189, ""best_regret_coverage_auc"": 0.046307852841366605, ""candidate_count"": 12, ""selected_policy"": {""baseline_model"": ""vespag"", ""decision_mean"": 0.6110675939342456, ""decision_shrinkage"": 0.75, ""decision_std"": 0.07710011765289726, ""log_msa_neff_mean"": 8.403892189769243, ""log_msa_neff_std"": 2.229048804301093, ""log_protein_length_mean"": 5.362497152634586, ""log_protein_length_std"": 1.0927833327821728, ""override_margin"": 0.05}}",0.2010436405037548,0.00755500035203107,"{""l2_regularization"": 2.0, ""learning_rate"": 0.05, ""max_iter"": 300, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}"
2,histgb,750,186,234,84,21,31,27,2.613474416532186,1.0,0.075,"{""decision_score"": 0.25, ""log_msa_neff"": 1.0, ""log_protein_length"": 0.5}","{""best_mean_regret"": 0.05133394561728355, ""best_regret_coverage_auc"": 0.03387857897619458, ""candidate_count"": 12, ""selected_policy"": {""baseline_model"": ""vespag"", ""decision_mean"": 0.5946700242933777, ""decision_shrinkage"": 1.0, ""decision_std"": 0.1106382522045489, ""log_msa_neff_mean"": 8.765485606097789, ""log_msa_neff_std"": 2.022742424197026, ""log_protein_length_mean"": 5.355342140354311, ""log_protein_length_std"": 1.0734351613808208, ""override_margin"": 0.075}}",0.1581071299555572,0.007701200747360005,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 250, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 10}"
3,histgb,684,252,234,84,21,42,27,1.7627703288741448,1.0,0.15,"{""decision_score"": 0.25, ""log_msa_neff"": 1.0, ""log_protein_length"": 0.5}","{""best_mean_regret"": 0.053728125392251254, ""best_regret_coverage_auc"": 0.04403950918243381, ""candidate_count"": 12, ""selected_policy"": {""baseline_model"": ""vespag"", ""decision_mean"": 0.6047340934453823, ""decision_shrinkage"": 1.0, ""decision_std"": 0.11571489992990355, ""log_msa_neff_mean"": 8.5393366711169, ""log_msa_neff_std"": 2.146901518096491, ""log_protein_length_mean"": 5.295956406156344, ""log_protein_length_std"": 1.1461252919665648, ""override_margin"": 0.15}}",0.16871890630617575,0.008322026504464427,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 250, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 10}"
4,histgb,744,192,234,84,21,32,27,4.135296108128829,1.0,0.05,"{""decision_score"": 0.25, ""log_msa_neff"": 1.0, ""log_protein_length"": 0.5}","{""best_mean_regret"": 0.06755060236486836, ""best_regret_coverage_auc"": 0.059848798265179984, ""candidate_count"": 12, ""selected_policy"": {""baseline_model"": ""vespag"", ""decision_mean"": 0.6355367943183248, ""decision_shrinkage"": 1.0, ""decision_std"": 0.12892061899506896, ""log_msa_neff_mean"": 8.447469269744023, ""log_msa_neff_std"": 1.9306560247943585, ""log_protein_length_mean"": 5.293878734036685, ""log_protein_length_std"": 1.1298986488962284, ""override_margin"": 0.05}}",0.1643708298964162,0.00791175808050589,"{""l2_regularization"": 2.0, ""learning_rate"": 0.05, ""max_iter"": 300, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}"
