policy,risk_coverage_auc,regret_coverage_auc,utility_coverage_auc,failure_rate_at_50pct,mean_selection_gain_at_50pct,mean_selection_regret_at_50pct,worst_quintile_gain_at_50pct,tasks
always_best,0.0,0.0569806165498084,0.533002087973327,0.0,0.5927228463005577,0.060842803763013625,0.29207036959078264,195
decision_only,0.0,0.06639102222317808,0.5485881354272517,0.0,0.6058943537597572,0.06814654593787219,0.3408673836199353,195
elastic_net,0.0012820512820512816,0.06877761065797337,0.5555992672907542,0.0,0.6168201417978295,0.07788541389856422,0.3296366658595113,195
ensemble_agreement,0.0,0.058038305613903496,0.5790287771104067,0.0,0.6464968387229202,0.06411645534199244,0.37352233270920526,195
msa_depth,0.0,0.06627857543521638,0.5664137084505912,0.0,0.6464737881281319,0.07626312641122532,0.37256515250993366,195
oracle,0.0,0.0,0.7509422868136445,0.0,0.8444808843219757,0.0,0.6920983878979882,195
random,0.1064680125355087,0.1934500400915309,0.39234834779579375,0.12244897959183673,0.4253010163499247,0.21789642424417865,-0.035047827317254886,195
score_dispersion,0.0,0.0406733922782762,0.5267953229189094,0.0,0.5991360799785759,0.04181435813409408,0.29398311485369294,195
uncalibrated,0.0,0.07045936727893833,0.5462802320140011,0.0,0.6079484989783049,0.07600290827097063,0.32049694108677496,195
variantshift,0.0,0.0561922345703355,0.5652707791431559,0.0,0.6369337784350727,0.05904362132883612,0.3525681717750966,195
