model,calibration_method,n_proteins,mean_spearman,mean_top_recall,mean_selection_gain_sd,mean_observed_coverage,mean_position_coverage_mean,mean_mean_interval_width
cross_protein_histgb,mondrian_substitution,169,0.5326221059094226,0.21692437777766996,0.7269021909972057,0.804121383784967,0.8010964058337328,0.6532171013632079
cross_protein_histgb,standard_split,169,0.5326221059094226,0.21692437777766996,0.7269021909972057,0.8041983425460848,0.8010322172255512,0.6528666115566145
cross_protein_ridge,mondrian_substitution,169,0.5107482812545835,0.20827223985975774,0.6741541458809931,0.8014149561964014,0.797793892030791,0.6712076743029716
cross_protein_ridge,standard_split,169,0.5107482812545835,0.20827223985975774,0.6741541458809931,0.8014029844557794,0.7975741573009522,0.6698764683433845
