assay_id,uniprot_id,taxon,coarse_selection_type,model,score_column,modality,evaluation_type,spearman,rmse,mae,r2,top_fraction,top_recall,selected_target_mean,selection_gain_sd,best_variant_regret_sd,test_rows
OXDA_RHOTO_Vanella_2023_activity,OXDA_RHOTO,Eukaryote,Activity,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.4048141574538604,5.954757440908903,4.866745790571924,-5121.879343427747,0.1,0.215625,-0.04072337789034209,0.5648392726634153,0.0,6396
OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO,Eukaryote,Expression,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.3296833064222968,6.0671972805395935,4.9770503617880895,-1937.719692468315,0.1,0.16691285081240767,-0.014103943665485971,0.4645283657176904,0.20565289403468132,6769
P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,Human,OrganismalFitness,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.3256741994136903,10.093539905899181,9.478211584506232,-105.43308140642897,0.1,0.08969210174029452,0.39760441584248885,0.35862852390803446,0.6655398541014959,7467
P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,Human,OrganismalFitness,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.3157988889313786,10.119868225374837,9.468258039179293,-103.49874706548331,0.1,0.07764390896921017,0.24163965212047614,0.2157170425101011,2.7300027788195145,7467
P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,Human,OrganismalFitness,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.33991540789313257,10.044173412327392,9.411992376787397,-93.13238198977491,0.1,0.06291834002677377,0.3627458975888644,0.36957487892623586,2.1567711780378107,7467
P53_HUMAN_Kotler_2018,P53_HUMAN,Human,OrganismalFitness,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.5395688882571603,10.830370579650912,10.573129086799543,-82.93514609260058,0.1,0.22857142857142856,2.161167025100438,0.7288659701228766,0.13658686700252623,1048
P84126_THETH_Chan_2017,P84126_THETH,Prokaryote,OrganismalFitness,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.6365703679316371,11.447812242313441,10.982740149555822,-355.63702322252425,0.1,0.4276315789473684,0.2809481884210527,1.2295931171794365,0.0,1519
PABP_YEAST_Melamed_2013,PABP_YEAST,Eukaryote,OrganismalFitness,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.6649630781752575,9.77772050672677,9.008154744427406,-719.7871639257676,0.1,0.19327731092436976,0.9357046418235293,0.7617711524356564,4.671765604501519,1187
PAI1_HUMAN_Huttinger_2021,PAI1_HUMAN,Human,Activity,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.2677833532619377,9.639981684443685,9.075257735925492,-61.8360702858389,0.1,0.1588785046728972,0.44556858965420565,0.5560789489749653,0.3946960417223471,5345
PA_I34A1_Wu_2015,PA_I34A1,Virus,OrganismalFitness,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.3338119096521306,9.097918703420378,8.8212169953994,-330.9801059881588,0.1,0.24175824175824176,0.698110190554945,0.5004862430186074,6.709257846027896,1820
PHOT_CHLRE_Chen_2023,PHOT_CHLRE,Eukaryote,Activity,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.5828857863330621,10.903283881569454,10.382413844945239,-954.8160271923423,0.1,0.17370892018779344,1.2526724940105816,0.545708166126547,0.304293502984966,2122
PIN1_HUMAN_Tsuboyama_2023_1I6C,PIN1_HUMAN,Human,Stability,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.45877325782467515,9.975250031615971,9.608263876990717,-157.6899724374162,0.1,0.11594202898550725,-0.15171989076804873,0.7019749462852212,0.5933909126516091,686
PITX2_HUMAN_Tsuboyama_2023_2L7M,PITX2_HUMAN,Human,Stability,xtrimopglm_100b,xTrimoPGLM-100B-int4,single_sequence,official_zero_shot_paired_complete_case,0.215808417909961,11.588399883844103,11.274107537790194,-130.7714311718744,0.1,0.06382978723404255,-0.3462121880103688,0.3790372869921103,0.06353046310255735,938
