model,calibration_method,n_proteins,mean_spearman,mean_top_recall,mean_selection_gain_sd,mean_observed_coverage,mean_position_coverage_mean,mean_mean_interval_width
cross_protein_histgb,mondrian_substitution,169,0.532935308247961,0.21394706580431153,0.716492934815244,0.8019198434925946,0.7991805494645237,0.6535099356163547
cross_protein_histgb,standard_split,169,0.532935308247961,0.21394706580431153,0.716492934815244,0.8021567315993575,0.79926663018649,0.653076408636199
cross_protein_ridge,mondrian_substitution,169,0.5125515658072365,0.2105773138848151,0.6783292954999542,0.8004719068737749,0.7969070308121812,0.6691007478595153
cross_protein_ridge,standard_split,169,0.5125515658072365,0.2105773138848151,0.6783292954999542,0.8005204914753716,0.7966982829058927,0.6686653539818581
