model,calibration_method,n_proteins,mean_spearman,mean_top_recall,mean_selection_gain_sd,mean_observed_coverage,mean_position_coverage_mean,mean_mean_interval_width
cross_protein_histgb,mondrian_substitution,169,0.5331650893368651,0.21309506143334642,0.7181914076020167,0.8007348083750332,0.7978577083059504,0.6519189630374831
cross_protein_histgb,standard_split,169,0.5331650893368651,0.21309506143334642,0.7181914076020167,0.8014033012766869,0.7984250380283276,0.6524351729946849
cross_protein_ridge,mondrian_substitution,169,0.5126318100822226,0.2092684692927782,0.6777914593542707,0.7992502958148541,0.7957357672824306,0.6683447577431278
cross_protein_ridge,standard_split,169,0.5126318100822226,0.2092684692927782,0.6777914593542707,0.79980550721429,0.7959976191785207,0.668859570499834
