model,calibration_method,n_proteins,mean_spearman,mean_top_recall,mean_selection_gain_sd,mean_observed_coverage,mean_position_coverage_mean,mean_mean_interval_width
cross_protein_histgb,mondrian_substitution,169,0.5389074282529117,0.214070902742067,0.7233933001709663,0.8070056368928261,0.8044187220028685,0.6547499834016713
cross_protein_histgb,standard_split,169,0.5389074282529117,0.214070902742067,0.7233933001709663,0.8073842931470857,0.80465940831167,0.6545471939773
cross_protein_ridge,mondrian_substitution,169,0.5146238173434031,0.2094257330761931,0.6803800753630525,0.8042807704998791,0.8007844355917325,0.6733645232663599
cross_protein_ridge,standard_split,169,0.5146238173434031,0.2094257330761931,0.6803800753630525,0.8042908603077794,0.8004956166875512,0.672810437581924
