model,validation,n_examples,n_assays,n_proteins,supervised_win_prevalence,roc_auc,brier_score,accuracy,balanced_accuracy,mean_protein_accuracy,majority_accuracy
histgb,five_fold_held_out_UniProt_ID,975,195,169,0.4082051282051282,0.8096875190510612,0.1811466396183505,0.7343589743589743,0.7124269527882044,0.7250493096646943,0.5917948717948718
logistic,five_fold_held_out_UniProt_ID,975,195,169,0.4082051282051282,0.828679794117903,0.16822142364222215,0.7702564102564102,0.765360598486366,0.7541420118343195,0.5917948717948718
