fold,assay_id,uniprot_id,model,calibration_method,evaluation_type,nominal_coverage,spearman,rmse,mae,r2,top_fraction,top_recall,selected_target_mean,selection_gain_sd,best_variant_regret_sd,observed_coverage,mean_interval_width,median_interval_width,position_coverage_mean,position_coverage_p10,position_coverage_min,covered_positions,test_rows,fit_proteins,calibration_proteins,test_proteins
0,A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.7279221439221439,0.20885437583622177,0.1729867040027489,0.4765576728864196,0.1,0.25,0.7856000000000002,0.9876158642838303,0.003464103347189864,0.895,0.6790209685110868,0.6734286567264058,0.8950501253132831,0.6666666666666666,0.0,266,1000,108,27,34
0,AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.7623312073090749,0.19677280672093117,0.16047356606842206,0.5353648594119802,0.1,0.2682926829268293,0.7654074955383701,0.917286958981153,0.00844903461235098,0.9134146341463415,0.6768661951126923,0.6734286567264058,0.918845925828338,0.7894736842105263,0.3157894736842105,47,820,108,27,34
0,ANCSZ_Hobbs_2022,ANCSZ,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.583947055947056,0.22648539244322832,0.19176170219091904,0.38445178856983087,0.1,0.15,0.6718899999999999,0.59371267267487,0.0,0.864,0.6779769651884765,0.6734286567264058,0.8475836431226765,0.5,0.0,269,1000,108,27,34
0,BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.5437381529215556,0.25402936885267724,0.2127917967750915,0.22562797950471214,0.1,0.2247191011235955,0.7734881959348566,0.9454453735530759,0.015569005850770987,0.8123595505617978,0.6771721229793747,0.6734286567264058,0.777778904317217,0.26625386996904027,0.0,52,890,108,27,34
0,CALM1_HUMAN_Weile_2017,CALM1_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.22170729836778597,0.2984313173504104,0.2434089685493838,-0.06873610849179124,0.1,0.07,0.58202,0.2823937082516455,0.03464103388759147,0.729,0.6761994151164162,0.6734286567264058,0.7270874770874771,0.5,0.0,148,1000,108,27,34
0,CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.6722438162438164,0.23329674025150113,0.20259409310530274,0.3468709187272021,0.1,0.23,0.7481299999999999,0.857815911864625,0.013856413388759457,0.879,0.677112227524261,0.6734286567264058,0.8782745032745033,0.6500000000000001,0.21428571428571427,72,1000,108,27,34
0,CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.6001094401094402,0.23295168618742945,0.1898036754722665,0.3488014916306924,0.1,0.12,0.72405,0.7744003032642935,0.0866025836797466,0.842,0.6774815261096502,0.6734286567264058,0.8433201058201059,0.4357142857142857,0.21428571428571427,72,1000,108,27,34
0,DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.7317382677382678,0.20557796711180643,0.15329474768247564,0.4928518861100105,0.1,0.31,0.8127800000000001,1.0817701932604502,0.0,0.913,0.6772394725951103,0.6734286567264058,0.9132692307692307,0.61,0.125,65,1000,108,27,34
0,DYR_ECOLI_Nguyen_2023,DYR_ECOLI,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.48738779026028156,0.2432754459965501,0.20454340612891858,0.28806978290840424,0.1,0.17,0.61602,0.40066150316961124,0.03815163205389305,0.816,0.6777261868968145,0.6734286567264058,0.8197106690777575,0.5,0.0,158,1000,108,27,34
0,DYR_ECOLI_Thompson_2019,DYR_ECOLI,cross_protein_histgb,mondrian_substitution,held_out_protein,0.8,0.5269193509193509,0.24233870006830152,0.2014655099867599,0.2952627486532182,0.1,0.09,0.6073000000000001,0.3699662374798776,0.06235386024941756,0.825,0.6782621940744803,0.6734286567264058,0.837004608294931,0.5,0.0,155,1000,108,27,34
