assay_id,uniprot_id,seed,fold,split,model,calibration_method,retained_fraction,retained_rows,mae,normalized_mae,uncertainty_threshold
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,43,1,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.5,1264,1.4049676265112163,0.7317249166949324,1.8976835486328123
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,43,1,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.75,1896,1.4417482965081738,0.7508807550086865,1.985062799542236
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,43,1,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,1.0,2527,1.4752832773076847,0.7683461973212765,2.3867688312884523
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,44,2,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.25,627,1.814083716407231,0.9267853056441255,1.7454019190686036
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,44,2,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.5,1254,1.8263835428049358,0.9330690831039347,1.842755363572937
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,44,2,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.75,1881,1.8192317941427967,0.929415373239399,1.9909504580750732
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,44,2,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,1.0,2508,1.8360403035491257,0.9380025621252673,2.3154402557145994
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,45,3,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.25,627,2.1640242619683643,1.0202958732892955,1.7497820634296875
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,45,3,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.5,1254,2.1833002333383518,1.0293841235404972,1.8281116979423828
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,45,3,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.75,1881,2.177366780709312,1.0265866145947056,1.9529370225290528
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,45,3,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,1.0,2508,2.234088784604135,1.0533299499240176,2.3523883518690187
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,46,4,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.25,627,1.8525356112202538,0.8080040760428989,1.7161047572849122
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,46,4,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.5,1254,2.0279746648284496,0.884523776692085,1.8100549167810058
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,46,4,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.75,1881,2.1364576118332246,0.9318398243999434,1.8318413277117918
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,46,4,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,1.0,2508,2.1272068104832513,0.927804984177618,2.282771531699707
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,42,0,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.25,47,2.4816058450271474,1.485413315954266,1.8786700010299682
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,42,0,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.5,94,2.063860410750546,1.2353636829728554,1.8786700010299682
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,42,0,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.75,141,1.8970056756851097,1.1354895447035247,1.9177270238399506
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,42,0,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,1.0,188,2.0247483144242393,1.2119523790325448,1.9177270238399506
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,43,1,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.25,46,1.7877114938355014,1.2004732701523904,2.056065086841583
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,43,1,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.5,92,1.4364572750001987,0.964601149738066,2.056065086841583
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,43,1,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.75,138,1.4439252124847708,0.9696159742018073,2.056065086841583
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,43,1,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,1.0,184,1.4308783373873601,0.9608548151068043,2.056065086841583
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,44,2,contiguous_position,esm2_residue_ridge_probe,mondrian_substitution,0.25,47,1.377157089085655,0.9331021692950477,1.896215998649597
