fold,repeat,assay_id,uniprot_id,model,calibration_method,retained_fraction,retained_rows,mae,normalized_mae,uncertainty_threshold,family_id
0,0,RASK_HUMAN_Weng_2022_binding-DARPin_K55,RASK_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.210930338393611,0.730684491253198,0.3151731753150356,ssf_550503ae0437
0,0,RFAH_ECOLI_Tsuboyama_2023_2LCL,RFAH_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,243,0.20483217518018104,0.7095598467170329,0.31542198036420005,ssf_12ebdb52f01c
0,0,RPC1_BP434_Tsuboyama_2023_1R69,RPC1_BP434,cross_protein_histgb,mondrian_substitution,0.25,250,0.13396242183321527,0.46405967387010116,0.3151731753150356,ssf_ffbe89385f32
0,0,SDA_BACSU_Tsuboyama_2023_1PV0,SDA_BACSU,cross_protein_histgb,mondrian_substitution,0.25,209,0.1458087997072321,0.5050968616558169,0.31542198036420005,ssf_3a5047c87583
0,0,SPIKE_SARS2_Starr_2020_binding,SPIKE_SARS2,cross_protein_histgb,mondrian_substitution,0.25,250,0.25791746006745947,0.8935451189614331,0.3151731753150356,ssf_761ae81d509c
0,0,SPIKE_SARS2_Starr_2020_expression,SPIKE_SARS2,cross_protein_histgb,mondrian_substitution,0.25,250,0.26389216694222917,0.914162592945207,0.3151731753150356,ssf_761ae81d509c
0,0,SQSTM_MOUSE_Tsuboyama_2023_2RRU,SQSTM_MOUSE,cross_protein_histgb,mondrian_substitution,0.25,177,0.14375249509846116,0.49797374857509275,0.3151731753150356,ssf_fd3d638b0af8
0,0,SR43C_ARATH_Tsuboyama_2023_2N88,SR43C_ARATH,cross_protein_histgb,mondrian_substitution,0.25,223,0.1303513835404987,0.4515507239336919,0.3151731753150356,ssf_63a1a4e89751
0,0,SRBS1_HUMAN_Tsuboyama_2023_2O2W,SRBS1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.16401327141827873,0.5681589225036185,0.3151731753150356,ssf_09af8f8b7309
0,0,SYUA_HUMAN_Newberry_2020,SYUA_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.20806312275719732,0.7207521599699822,0.31542198036420005,ssf_87dffde05f09
0,0,TADBP_HUMAN_Bolognesi_2019,TADBP_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.25042199714240077,0.8674876785109603,0.3151731753150356,ssf_b0af6d5185b3
0,0,TNKS2_HUMAN_Tsuboyama_2023_5JRT,TNKS2_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.13541410561076536,0.46908845650297365,0.31542198036420005,ssf_1a40a2a2ccdc
0,0,UBC9_HUMAN_Weile_2017,UBC9_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.2014470237749743,0.6978333093403241,0.3151731753150356,ssf_ab8b39992872
0,0,UBE4B_MOUSE_Starita_2013,UBE4B_MOUSE,cross_protein_histgb,mondrian_substitution,0.25,225,0.2243453832393754,0.7771560799119944,0.31542198036420005,ssf_2d1d2debf9a5
0,0,VILI_CHICK_Tsuboyama_2023_1YU5,VILI_CHICK,cross_protein_histgb,mondrian_substitution,0.25,250,0.1779030127531733,0.6162744219534282,0.31542198036420005,ssf_0815efaffc38
0,0,YAIA_ECOLI_Tsuboyama_2023_2KVT,YAIA_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,232,0.17896804138074418,0.6199638411537175,0.3175616929468278,ssf_ac44f5c3e836
