assay_id,uniprot_id,taxon,coarse_selection_type,split,model,evaluation_type,target_space,spearman,rmse,mae,r2,top_fraction,top_recall,selected_target_mean,selection_gain_sd,best_variant_regret_sd,test_rows
BLAT_ECOLX_Deng_2012,BLAT_ECOLX,Prokaryote,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.4825669037062205,0.891735972552017,0.7267819783178083,0.2156160791340922,0.1,0.31,-1.5572948698199998,0.761141629458168,0.23846100693051575,4996
BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,Prokaryote,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.7377781712615079,0.7157284399261036,0.557371661156522,0.4883685011384018,0.1,0.348643006263048,0.9558129436325679,0.9939742546671785,0.0,4783
BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,Prokaryote,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.6919490275712945,0.6864540172208373,0.5258516772384226,0.5332980397050189,0.1,0.23232323232323232,-0.27067713044444447,0.6596805263640417,0.2562038999457509,989
BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,Prokaryote,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.7408567740461481,0.6858720540278962,0.5325600341148178,0.531779240655213,0.1,0.35,-0.250637887658,0.8727030921287012,0.0,4996
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,Human,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.42536151573526687,0.8657873936943065,0.6424963398981572,0.2601839065684365,0.1,0.11956521739130435,-0.42006181866847825,0.20376905176128648,0.0,1837
C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,Virus,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.508790774654173,0.8830369337358661,0.7105898679125716,0.2409191459511767,0.1,0.34386617100371747,-0.6018883441726066,0.9620198761336978,0.0,10754
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,Human,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.27788406730956244,0.9603854800846285,0.7558563472697517,0.08047596037145144,0.1,0.04945054945054945,0.8996130081373627,0.4319212159800345,0.2830040196237928,1813
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,Virus,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.24493692016156715,1.0696547634552078,0.8728957237879699,0.07227823612922968,0.1,0.5370370370370371,1.6088253412629503,1.138017886993042,0.0,532
CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,Human,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.2640528797371978,1.1331099753414338,0.7191079693485299,-0.02999116576427019,0.1,0.18907563025210083,-0.16943035670728288,0.28216858441891884,1.612594792149226,2374
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,Human,OrganismalFitness,contiguous_position,esm1v_embedding_probe,official_out_of_fold_predictions,ProteinGym_normalized_targets,0.5127928396173149,0.9542290682733043,0.74657318712676,0.25003933500383113,0.1,0.22916666666666666,-0.15899993162534723,0.6985146920616186,0.001906656336882432,2395
