fold,repeat,assay_id,uniprot_id,model,calibration_method,evaluation_type,nominal_coverage,spearman,rmse,mae,r2,top_fraction,top_recall,selected_target_mean,selection_gain_sd,best_variant_regret_sd,observed_coverage,mean_interval_width,median_interval_width,position_coverage_mean,position_coverage_p10,position_coverage_min,covered_positions,test_rows,fit_proteins,calibration_proteins,test_proteins,family_id,fit_families,calibration_families,test_families
1,0,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,cross_protein_histgb,mondrian_substitution,held_out_sequence_structure_family,0.8,0.39667148462155694,0.2675167550673468,0.22813186524116796,0.14121657031541657,0.1,0.29,0.7109500000000001,0.7290205494161067,0.006928206694379728,0.765,0.6845046978813837,0.6900002625342052,0.7648809523809523,0.5,0.0,504,1000,110,27,32,ssf_a5d49b9502ef,94,24,30
1,0,ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_sequence_structure_family,0.8,0.5750853710853712,0.23317013513583582,0.19412729930307954,0.3475796045484374,0.1,0.24,0.68978,0.655685481556097,0.006928206694379728,0.854,0.6841436390616773,0.6900002625342052,0.8531553398058253,0.5,0.0,412,1000,110,27,32,ssf_e2a3e4f1f860,94,24,30
1,0,BLAT_ECOLX_Deng_2012,BLAT_ECOLX,cross_protein_histgb,mondrian_substitution,held_out_sequence_structure_family,0.8,0.5185022024926021,0.2655778373229686,0.2226482060780824,0.15361909599284018,0.1,0.32,0.7127650000000001,0.7353083337649731,0.006928210809742286,0.807,0.684709970412559,0.6900002625342052,0.8073510773130544,0.3333333333333333,0.0,263,1000,110,27,32,ssf_1ca89f8f1279,94,24,30
1,0,BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,cross_protein_histgb,mondrian_substitution,held_out_sequence_structure_family,0.8,0.7590898804248484,0.2264912485840173,0.18768359886652428,0.3843900744625234,0.1,0.34,0.8016250000000003,1.0431534380890417,0.0,0.865,0.6845326963439192,0.6900002625342052,0.8678707224334601,0.5,0.0,263,1000,110,27,32,ssf_1ca89f8f1279,94,24,30
1,0,BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,cross_protein_histgb,mondrian_substitution,held_out_sequence_structure_family,0.8,0.7335911368368061,0.2080246789923247,0.1766324288799508,0.4601391448316007,0.1,0.20202020202020202,0.7486339634974619,0.876400340886304,0.03214195409371247,0.9140546006066734,0.6833658380403679,0.6900002625342052,0.9133713561470215,0.75,0.0,263,989,110,27,32,ssf_1ca89f8f1279,94,24,30
1,0,BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,cross_protein_histgb,mondrian_substitution,held_out_sequence_structure_family,0.8,0.7727664047664048,0.22772884326057402,0.18702205609901765,0.3776742650406759,0.1,0.34,0.8066800000000002,1.0606391628425924,0.0,0.866,0.684709970412559,0.6900002625342052,0.8628010139416984,0.5,0.0,263,1000,110,27,32,ssf_1ca89f8f1279,94,24,30
1,0,CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,cross_protein_histgb,mondrian_substitution,held_out_sequence_structure_family,0.8,0.24307767040008205,0.3110450997639808,0.26224279903475206,-0.16099275114621991,0.1,0.018518518518518517,0.6440058479532162,0.4955960314212108,0.13022961409608486,0.6842105263157895,0.6812806388345469,0.6875981151187047,0.6842105263157895,0.3157894736842105,0.05263157894736842,28,532,110,27,32,ssf_c257cf3223e7,94,24,30
1,0,CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST,cross_protein_histgb,mondrian_substitution,held_out_sequence_structure_family,0.8,0.7329457023106722,0.19936513864720826,0.1616480148594691,0.5230419749401982,0.1,0.2916666666666667,0.768717277486911,0.9290507985249438,0.007254667045582935,0.9183246073298429,0.6844463541683226,0.6900002625342052,0.9176067053002037,0.8342105263157895,0.21052631578947367,52,955,110,27,32,ssf_7dd9b66382a6,94,24,30
1,0,FKBP3_HUMAN_Tsuboyama_2023_2KFV,FKBP3_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_sequence_structure_family,0.8,0.5017998457998458,0.2809917623773829,0.24006334384382816,0.05252260623523497,0.1,0.1,0.60037,0.3459600012838515,0.006928206694379728,0.727,0.6827992990514035,0.6900002625342052,0.7087219945915597,0.25,0.0625,69,1000,110,27,32,ssf_178ecc1910b6,94,24,30
1,0,MAFG_MOUSE_Tsuboyama_2023_1K1V,MAFG_MOUSE,cross_protein_histgb,mondrian_substitution,held_out_sequence_structure_family,0.8,0.6448362615536962,0.23321743269531903,0.19165271925973712,0.34731442497220255,0.1,0.37662337662337664,0.7968265330470055,1.025965123460122,0.036368552211275405,0.8530183727034121,0.682010264727314,0.687598115118705,0.8526097644877376,0.6666666666666666,0.0,41,762,110,27,32,ssf_a1eda43852c5,94,24,30
1,0,MBD11_ARATH_Tsuboyama_2023_6ACV,MBD11_ARATH,cross_protein_histgb,mondrian_substitution,held_out_sequence_structure_family,0.8,0.6640039120039121,0.2444805156261195,0.20817858085650925,0.2827506125008532,0.1,0.14,0.6774,0.6127998821178866,0.0,0.844,0.6843243670869446,0.6900002625342052,0.8276622701422167,0.3333333333333333,0.18181818181818182,66,1000,110,27,32,ssf_029b997580c1,94,24,30
1,0,MET_HUMAN_Estevam_2023,MET_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_sequence_structure_family,0.8,0.6226278544957381,0.22140182018992932,0.17763396787397848,0.41177421997325436,0.1,0.16,0.7195500000000001,0.7588118382019398,0.006928206694379728,0.889,0.6850701478850165,0.6900002625342052,0.89198606271777,0.6666666666666666,0.0,287,1000,110,27,32,ssf_9e206bd97a80,94,24,30
1,0,MTHR_HUMAN_Weile_2021,MTHR_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_sequence_structure_family,0.8,0.38802849169405446,0.27425930440498963,0.2268310648005529,0.09738075814246427,0.1,0.12,0.6302699999999999,0.44953677767598405,0.0,0.785,0.6843944086385081,0.6900002625342052,0.7820121951219512,0.0,0.0,656,1000,110,27,32,ssf_095a60e097b5,94,24,30
1,0,NUD15_HUMAN_Suiter_2020,NUD15_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_sequence_structure_family,0.8,0.6168103608103609,0.2403158352619619,0.20399899713629246,0.3069788988470459,0.1,0.17,0.72854,0.789954127293176,0.006928206694379728,0.85,0.684864205676101,0.6900002625342052,0.8422874671340929,0.5714285714285714,0.0,163,1000,110,27,32,ssf_7dd15a2e7599,94,24,30
1,0,NUSA_ECOLI_Tsuboyama_2023_1WCL,NUSA_ECOLI,cross_protein_histgb,mondrian_substitution,held_out_sequence_structure_family,0.8,0.7040593880593882,0.20726483206790725,0.1716175825467435,0.4844949571493037,0.1,0.22,0.7274899999999999,0.7863168187786259,0.020784620083139187,0.902,0.6844148223948187,0.6911333490111373,0.9026162243553548,0.7295238095238095,0.4666666666666667,69,1000,110,27,32,ssf_a92a5d40f0e3,94,24,30
1,0,P84126_THETH_Chan_2017,P84126_THETH,cross_protein_histgb,mondrian_substitution,held_out_sequence_structure_family,0.8,0.5995714531688819,0.2863385547292992,0.24306553774466347,0.01612179512495915,0.1,0.39,0.8339399999999999,1.1550706235522026,0.0034641033575821853,0.729,0.6869215905663663,0.6930880035349809,0.729326923076923,0.3333333333333333,0.08333333333333333,80,1000,110,27,32,ssf_415fc4c4433b,94,24,30
