model,calibration_method,split,n_proteins,mean_spearman,mean_top_recall,mean_selection_gain_sd,mean_observed_coverage,mean_position_coverage_mean,mean_position_coverage_p10,mean_normalized_mean_interval_width,n_assays
esm2_residue_ridge_probe,mondrian_substitution,contiguous_position,169,0.31676896293264695,0.17282855834518415,0.42806408385656,0.5685074683370774,0.5669405764363202,0.20786643229056032,1.6023720228426794,195
esm2_residue_ridge_probe,position_distance_scaled,contiguous_position,169,0.31676896293264695,0.17282855834518415,0.42806408385656,0.9112178871674105,0.9089646130143603,0.7662539384981084,5.879512223808028,195
esm2_residue_ridge_probe,standard_split,contiguous_position,169,0.31676896293264695,0.17282855834518415,0.42806408385656,0.5635312026275547,0.5612414415353645,0.1980525627350329,1.5623644287563074,195
esm2_residue_ridge_probe,mondrian_substitution,modulo_position,169,0.40660165957667593,0.19122655405041833,0.556007390807034,0.6169773968453321,0.6137266022198993,0.2511940726980159,1.598430702404748,195
esm2_residue_ridge_probe,position_distance_scaled,modulo_position,169,0.40660165957667593,0.19122655405041833,0.556007390807034,0.7613347508558111,0.7576357816053783,0.4249630596578152,2.205482310037062,195
esm2_residue_ridge_probe,standard_split,modulo_position,169,0.40660165957667593,0.19122655405041833,0.556007390807034,0.6131789527685395,0.609471708500832,0.24223239779557904,1.5603323491910923,195
esm2_residue_ridge_probe,mondrian_substitution,position_holdout,169,0.3997316721655454,0.18651688535752292,0.5412204355421044,0.6125242114282552,0.6103339010505703,0.2487610667603271,1.6069931051621897,195
esm2_residue_ridge_probe,position_distance_scaled,position_holdout,169,0.3997316721655454,0.18651688535752292,0.5412204355421044,0.7603967356498385,0.7572267542948659,0.4240203764654092,2.23547189102109,195
esm2_residue_ridge_probe,standard_split,position_holdout,169,0.3997316721655454,0.18651688535752292,0.5412204355421044,0.606687809673978,0.6038509403214514,0.23499992583750393,1.5630606316402156,195
esm2_residue_ridge_probe,mondrian_substitution,random_variant,169,0.6880988178872758,0.34152132814089,0.904513443012579,0.806321499459682,0.8047362466218192,0.40452899557707245,1.6280489534834393,195
esm2_residue_ridge_probe,position_distance_scaled,random_variant,169,0.6880988178872758,0.34152132814089,0.904513443012579,0.801185439004593,0.7988348938935654,0.38660416079646853,1.5882852049502205,195
esm2_residue_ridge_probe,standard_split,random_variant,169,0.6880988178872758,0.34152132814089,0.904513443012579,0.801172203525368,0.7988748064600374,0.38606180144641683,1.5875006501341455,195
