fold,repeat,assay_id,uniprot_id,model,calibration_method,retained_fraction,retained_rows,mae,normalized_mae,uncertainty_threshold,feature_set,family_id
0,0,P53_HUMAN_Kotler_2018,P53_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.19482586056055717,0.6748969156869713,0.30874906580420647,mutation_descriptors_plus_fixed_esm_scores,cssf_a3526b63cbae
0,0,PAI1_HUMAN_Huttinger_2021,PAI1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.23238497500597025,0.8050061710952495,0.31417881914438567,mutation_descriptors_plus_fixed_esm_scores,cssf_51cbf66f0934
0,0,PIN1_HUMAN_Tsuboyama_2023_1I6C,PIN1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,172,0.13767571545911764,0.47692317500995707,0.31417881914438567,mutation_descriptors_plus_fixed_esm_scores,cssf_6f0217bf6d08
0,0,Q837P4_ENTFA_Meier_2023,Q837P4_ENTFA,cross_protein_histgb,mondrian_substitution,0.25,175,0.19627216996448688,0.6799074467730372,0.30874906580420647,mutation_descriptors_plus_fixed_esm_scores,cssf_cdfaa4cd70ca
0,0,Q837P5_ENTFA_Meier_2023,Q837P5_ENTFA,cross_protein_histgb,mondrian_substitution,0.25,187,0.20906405884303705,0.7242197928377101,0.30874906580420647,mutation_descriptors_plus_fixed_esm_scores,cssf_cdfaa4cd70ca
0,0,RDRP_I33A0_Li_2023,RDRP_I33A0,cross_protein_histgb,mondrian_substitution,0.25,250,0.23746910708583455,0.8226175385816475,0.30874906580420647,mutation_descriptors_plus_fixed_esm_scores,cssf_bcc2d8a187a4
0,0,RFAH_ECOLI_Tsuboyama_2023_2LCL,RFAH_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,243,0.18045314968079604,0.625108380138417,0.3147132984984503,mutation_descriptors_plus_fixed_esm_scores,cssf_12ebdb52f01c
0,0,RNC_ECOLI_Weeks_2023,RNC_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,250,0.19571359858154552,0.6779721319369048,0.31417881914438567,mutation_descriptors_plus_fixed_esm_scores,cssf_a0ac9f2c6c49
0,0,RPC1_BP434_Tsuboyama_2023_1R69,RPC1_BP434,cross_protein_histgb,mondrian_substitution,0.25,250,0.11143177356261766,0.3860111797815665,0.30874906580420647,mutation_descriptors_plus_fixed_esm_scores,cssf_ffbe89385f32
0,0,SAV1_MOUSE_Tsuboyama_2023_2YSB,SAV1_MOUSE,cross_protein_histgb,mondrian_substitution,0.25,170,0.1629939264015411,0.5646281360460366,0.3147132984984503,mutation_descriptors_plus_fixed_esm_scores,cssf_6f0217bf6d08
0,0,SCIN_STAAR_Tsuboyama_2023_2QFF,SCIN_STAAR,cross_protein_histgb,mondrian_substitution,0.25,250,0.24225550075064212,0.8391980910254553,0.3147132984984503,mutation_descriptors_plus_fixed_esm_scores,cssf_cf940c8da196
0,0,SPA_STAAU_Tsuboyama_2023_1LP1,SPA_STAAU,cross_protein_histgb,mondrian_substitution,0.25,250,0.20033828992013916,0.6939925406826469,0.30874906580420647,mutation_descriptors_plus_fixed_esm_scores,cssf_5e471b6b3e5d
0,0,SR43C_ARATH_Tsuboyama_2023_2N88,SR43C_ARATH,cross_protein_histgb,mondrian_substitution,0.25,223,0.13410317259514634,0.4645473106799024,0.31417881914438567,mutation_descriptors_plus_fixed_esm_scores,cssf_63a1a4e89751
0,0,TCRG1_MOUSE_Tsuboyama_2023_1E0L,TCRG1_MOUSE,cross_protein_histgb,mondrian_substitution,0.25,156,0.11462361804857817,0.3970683752314257,0.3147132984984503,mutation_descriptors_plus_fixed_esm_scores,cssf_6f0217bf6d08
0,0,THO1_YEAST_Tsuboyama_2023_2WQG,THO1_YEAST,cross_protein_histgb,mondrian_substitution,0.25,164,0.2022728919185953,0.700694665719349,0.3147132984984503,mutation_descriptors_plus_fixed_esm_scores,cssf_a523304d9a92
0,0,TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.20966283942561217,0.7262937438355935,0.31417881914438567,mutation_descriptors_plus_fixed_esm_scores,cssf_b5a772423035
0,0,VG08_BPP22_Tsuboyama_2023_2GP8,VG08_BPP22,cross_protein_histgb,mondrian_substitution,0.25,181,0.12145627003049378,0.4207372636244425,0.3147132984984503,mutation_descriptors_plus_fixed_esm_scores,cssf_ffaeeb6011e9
0,0,VKOR1_HUMAN_Chiasson_2020_abundance,VKOR1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.20103466296282438,0.6964048488707055,0.30874906580420647,mutation_descriptors_plus_fixed_esm_scores,cssf_893ea5ec829f
0,0,VKOR1_HUMAN_Chiasson_2020_activity,VKOR1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,175,0.20138481545096965,0.6976190477721103,0.30024326944092344,mutation_descriptors_plus_fixed_esm_scores,cssf_893ea5ec829f
1,0,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,cross_protein_histgb,mondrian_substitution,0.25,250,0.22160932636641678,0.7676776092343948,0.3218944364927323,mutation_descriptors_plus_fixed_esm_scores,cssf_a5d49b9502ef
1,0,AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,205,0.17046558231897171,0.590510538143298,0.3218944364927323,mutation_descriptors_plus_fixed_esm_scores,cssf_265b55e38391
1,0,BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,cross_protein_histgb,mondrian_substitution,0.25,223,0.20141179810867696,0.6977113755549511,0.3214212032899808,mutation_descriptors_plus_fixed_esm_scores,cssf_39e5faa59a41
1,0,BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.2088454131412779,0.7234620947079503,0.3214212032899808,mutation_descriptors_plus_fixed_esm_scores,cssf_234425dd63e3
1,0,CASP3_HUMAN_Roychowdhury_2020,CASP3_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.1931540889519701,0.6691057260619278,0.3205386900521875,mutation_descriptors_plus_fixed_esm_scores,cssf_99e3b36fb3c0
1,0,CASP7_HUMAN_Roychowdhury_2020,CASP7_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.1906416031835645,0.6604022157018271,0.3214212032899808,mutation_descriptors_plus_fixed_esm_scores,cssf_99e3b36fb3c0
1,0,CBS_HUMAN_Sun_2020,CBS_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.2231660638013309,0.780880004641858,0.3218944364927323,mutation_descriptors_plus_fixed_esm_scores,cssf_c188af622fce
1,0,CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE,cross_protein_histgb,mondrian_substitution,0.25,250,0.17062425332591752,0.5910600470580817,0.3218944364927323,mutation_descriptors_plus_fixed_esm_scores,cssf_322a3fa1e236
1,0,CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST,cross_protein_histgb,mondrian_substitution,0.25,239,0.15020449168381078,0.5203239075003931,0.3218944364927323,mutation_descriptors_plus_fixed_esm_scores,cssf_265b55e38391
1,0,DYR_ECOLI_Nguyen_2023,DYR_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,250,0.1962722542899927,0.6807369843690843,0.3218944364927323,mutation_descriptors_plus_fixed_esm_scores,cssf_0932cd92de6e
1,0,DYR_ECOLI_Thompson_2019,DYR_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,250,0.1924164635259512,0.6665505153546835,0.3218944364927323,mutation_descriptors_plus_fixed_esm_scores,cssf_0932cd92de6e
1,0,ESTA_BACSU_Nutschel_2020,ESTA_BACSU,cross_protein_histgb,mondrian_substitution,0.25,250,0.24008171820987753,0.8316701216794766,0.32605463117221023,mutation_descriptors_plus_fixed_esm_scores,cssf_eb7894768bb9
1,0,FECA_ECOLI_Tsuboyama_2023_2D1U,FECA_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,250,0.16557271360578277,0.5735609914051004,0.3218944364927323,mutation_descriptors_plus_fixed_esm_scores,cssf_9a3ea6c0c19c
