fold,repeat,assay_id,uniprot_id,model,calibration_method,evaluation_type,nominal_coverage,spearman,rmse,mae,r2,top_fraction,top_recall,selected_target_mean,selection_gain_sd,best_variant_regret_sd,observed_coverage,mean_interval_width,median_interval_width,position_coverage_mean,position_coverage_p10,position_coverage_min,covered_positions,test_rows,fit_proteins,calibration_proteins,test_proteins,feature_set,family_id,fit_families,calibration_families,test_families
0,0,A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.7264954744954746,0.2167301170973127,0.17592085188084217,0.43633611245193393,0.1,0.22,0.7727200000000001,0.9429982131720245,0.0588897569022277,0.847,0.6281802453257724,0.6388415126605325,0.849310776942356,0.5,0.0,266,1000,110,25,34,mutation_descriptors_plus_fixed_esm_scores,cssf_579275b2407d,84,21,27
0,0,A4_HUMAN_Seuma_2022,A4_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.3911727212170666,0.2648301611002468,0.2218990879806969,0.15837850097619066,0.1,0.0875,0.6537060301507538,0.5302777825298068,0.069630238165588,0.7298994974874372,0.6289454786191356,0.6388415126605325,0.7297410192147034,0.5263157894736842,0.3684210526315789,42,796,110,25,34,mutation_descriptors_plus_fixed_esm_scores,cssf_6a1f189f4e62,84,21,27
0,0,ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.5587123747123748,0.23879140150144537,0.20044558349464864,0.3157433145710208,0.1,0.18,0.6882699999999999,0.6504546855018403,0.006928206694379728,0.796,0.6278106523579318,0.6388415126605325,0.7928802588996763,0.5,0.0,412,1000,110,25,34,mutation_descriptors_plus_fixed_esm_scores,cssf_516e14d168fd,84,21,27
0,0,ANCSZ_Hobbs_2022,ANCSZ,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.5680901200901202,0.2308431285639194,0.19473802210596505,0.3605367604746218,0.1,0.13,0.65479,0.5344765054379238,0.0,0.824,0.6311146326043872,0.6410897036217196,0.8091078066914498,0.4,0.0,269,1000,110,25,34,mutation_descriptors_plus_fixed_esm_scores,cssf_88339869d8cb,84,21,27
0,0,CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.7484815942666498,0.20456857016216035,0.15760578389284713,0.4978198040201829,0.1,0.2826086956521739,0.8007088331515813,1.0397977497525395,0.045331782005560484,0.8844056706652127,0.6323968292367369,0.6410897036217196,0.8872046783625731,0.6824561403508772,0.21052631578947367,50,917,110,25,34,mutation_descriptors_plus_fixed_esm_scores,cssf_63a1a4e89751,84,21,27
0,0,CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.43771363531327845,0.25935044307156446,0.2207584893101228,0.18941753261814376,0.1,0.25,0.60002,0.34547925627518505,0.0,0.733,0.6287373657233428,0.6388415126605325,0.7339826007326008,0.08951048951048952,0.0,100,1000,110,25,34,mutation_descriptors_plus_fixed_esm_scores,cssf_e2b2659337b1,84,21,27
0,0,CCR5_HUMAN_Gill_2023,CCR5_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.35235291522994266,0.27120704739643214,0.22564479246561844,0.11734616018491062,0.1,0.17,0.6226750000000001,0.423230136542074,0.0051961956604308105,0.737,0.6269337760641795,0.6388415126605325,0.737874097007224,0.3333333333333333,0.0,323,1000,110,25,34,mutation_descriptors_plus_fixed_esm_scores,cssf_516e14d168fd,84,21,27
0,0,CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.19445829990986208,0.2864634681854388,0.24366733225155998,0.015247292172112958,0.1,0.1,0.6198,0.41327086567225285,0.034641313132628075,0.662,0.6294231534837239,0.6388415126605325,0.6698031980319804,0.25,0.0,271,1000,110,25,34,mutation_descriptors_plus_fixed_esm_scores,cssf_1ca77773c7d8,84,21,27
0,0,CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.6490695630167717,0.22781491253165956,0.1860384506159621,0.3772037647420725,0.1,0.22,0.7534000000000001,0.8760717365043164,0.01732051673594932,0.825,0.6277595952546106,0.6410897036217196,0.8200280112044818,0.5,0.0,476,1000,110,25,34,mutation_descriptors_plus_fixed_esm_scores,cssf_1d3a8e32222c,84,21,27
0,0,CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,cross_protein_histgb,mondrian_substitution,held_out_curated_sequence_structure_family,0.8,0.6467098907098908,0.22665103458802482,0.18702554855089557,0.3835510857932214,0.1,0.35,0.7838099999999999,0.9814151192923595,0.0,0.829,0.6301301650539893,0.6410897036217196,0.8314814814814814,0.3333333333333333,0.0,450,1000,110,25,34,mutation_descriptors_plus_fixed_esm_scores,cssf_1d3a8e32222c,84,21,27
