model_id,family,prediction_path,prediction_sha256,provenance_sha256,prediction_rows,targets_at_minimum_coverage,minimum_target_coverage,execution_status,executed_specification_sha256,current_specification_sha256,specification_digest_matches,qualification_status
esm2_150m,masked-protein-language-model,artifacts/confirmation/domainome-v1/esm2_150m/predictions.csv,53cd7f124758e9b3452a8347d44cbfa9945103e4fcbf2e6da5b66e1660b48379,980ba59f8a19e79f4d6de188fc25a41857457272b011e83f39373f042e78d4bb,469262,426,0.95,complete,45f8e628931159bba590ef6d4629b6ccf30cfb73cc9fb6c2268743aef04eed57,9858b8589674d0d522c2666895f5d4e666443331e731cc2f6fe5016983611364,False,not_started
esm2_35m,masked-protein-language-model,artifacts/confirmation/domainome-v1/esm2_35m-rerun/predictions.csv.gz,f1e79a10c45207e520220f78c11befb4415494fceea94b05c7cfe72c2061a13d,b781cbc1420494d64a762790fd7bd60489465e795bf0f3aadf6cbdb80bf6587e,469262,426,0.95,complete,8990749b3c756bda772c5cec358bc4dd6421bc941475937be2cad888376c5f3e,78bb0325536dddd3d0a823fb00f2cd3a3b4ea4bf45996c2d5b8d368db4eadd17,False,not_started
esm2_650m,masked-protein-language-model,artifacts/confirmation/domainome-v1/esm2_650m/predictions.csv.gz,d3a343a81dbd87b907fc883c52fc923efbba3fb6f8e8a2f0366a39c1e5e321c0,b1a73c3ab3b93883690a6c32f73bdae41af2cffd7883cc0087f24d22bf20af8c,469262,426,0.95,complete,534ca0fd46d4aa63e561726c79eeb45e750e54fe8ffdcd2793483e3bbbc8d908,534ca0fd46d4aa63e561726c79eeb45e750e54fe8ffdcd2793483e3bbbc8d908,True,not_started
esm2_8m,masked-protein-language-model,artifacts/confirmation/domainome-v1/esm2_8m/predictions.csv.gz,ab7b105877d8644a70fa0aee1402a057482832e85bf11cc0fa645a3077d5623b,59e1daf10e1ddc0a0fbf36271ea221fbaf789994e98dada5f51906ab4fd4b700,469262,426,0.95,complete,822b8f708e11fd9643d87c1bc09aa18594beb2bdb03c0f0445084c6d357dcdcd,84520fdf6a1457ee1f9f70b3bbcaa3bd2b785fba672c973adff842a640b99f0b,False,not_started
esm_if1,inverse-folding-model,artifacts/confirmation/domainome-v1/esm_if1/predictions.csv.gz,2e63104115d75742c788ef39b7319d3260b2836fa57fd9eaf2004bc6e586dc59,dd63f18236be83240737dc9e05782e5e4408aff7ae057dc517d0314410bff9a2,456798,413,0.95,complete,1ce06b1b222dfb565018acea02edfec41391366d1a3778f47f4b6162caaf003d,1ce06b1b222dfb565018acea02edfec41391366d1a3778f47f4b6162caaf003d,True,not_started
proteinmpnn,inverse-folding-model,artifacts/confirmation/domainome-v1/proteinmpnn/predictions.csv,de3a43a32b2fad8d08520a8d7474bb1e34b704209c01647f50e18650bd1fae83,cb633165646c8d4ce43d793a04ae863b822fa852b6a071278b98d6770268f188,456798,413,0.95,complete,d6651cf7734ba16b14d64654f97d2e6e9600077fa8a8dd445c7565c1866941fa,d6651cf7734ba16b14d64654f97d2e6e9600077fa8a8dd445c7565c1866941fa,True,not_started
saprot_35m,structure-aware-protein-language-model,artifacts/confirmation/domainome-v1/saprot_35m/predictions.csv.gz,fdab95496bfc4910000970e2da5772c8b1314d4ea8ffec5515f7f67b84d0c8ba,c2aca6f552926c8fdff74631d79ea072b0986682a1006b8d1cd496d65d7f4d9d,456798,413,0.95,complete,87b7ecc3fc524fe1f453984df3dd1721f59b6436d26cc501327bfff7e564075f,87b7ecc3fc524fe1f453984df3dd1721f59b6436d26cc501327bfff7e564075f,True,not_started
tranception_l_no_retrieval,autoregressive-protein-language-model,artifacts/confirmation/domainome-v1/tranception_l_no_retrieval/predictions.csv.gz,1ff740b0d48cd80de1547c92fa70383f1ed7ab93e309c1cc376179394ba3fc8c,6ed35c19917f44fbfe14d6132a5df12bbc6129bf5791b7d6eaa6760ad1ff3e8c,469262,426,0.95,complete,c46789639fcaa2eb66c7ab9ef9526930324b0b201ce810831decfdd9296157ad,c46789639fcaa2eb66c7ab9ef9526930324b0b201ce810831decfdd9296157ad,True,not_started
