policy,risk_coverage_auc,failure_rate_at_50pct,mean_selection_gain_at_50pct,tasks
always_best,0.0008245920745920743,0.0,0.6591731162588725,195
crossover_classifier,0.0008245920745920743,0.0,0.711066068597789,195
elastic_net,0.00025641025641025636,0.0,0.6687189460578556,195
ensemble_agreement,0.00025641025641025636,0.0,0.6927615548795065,195
msa_depth,0.00025641025641025636,0.0,0.7142639325908581,195
oracle,0.0,0.0,0.9552330251760468,195
random,0.03433257143687765,0.04081632653061224,0.5472638302864761,195
score_dispersion,0.0021955447229169856,0.0,0.6854792028673602,195
uncalibrated,0.0021955447229169856,0.0,0.7450621379737153,195
variantshift,0.009868133097684537,0.01020408163265306,0.6931107104207166,195
