protocol_id,panel_id,dataset_id,assay_id,target_id,protein_id,family_id,model_id,aligned_variants,spearman,top_fraction,top_recall,ndcg,selected_target_mean,selection_gain_sd,best_variant_regret_sd
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-c-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,vespag,8528,0.4754949967726327,0.1,0.141852286049238,0.9511025289040471,0.9604048315296058,0.6222346401453996,0.15518412165987977
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-d-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,carp_640m,8528,0.6047761875734728,0.1,0.21453692848769051,0.9593938220397042,0.9614894347245458,0.7414070653988999,0.052095308951903146
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-d-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_150m,8528,0.4865500541520698,0.1,0.21922626025791325,0.9484611764261472,0.8556599356473247,0.46936615771212176,0.0
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-d-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_35m,8528,0.43128607639943334,0.1,0.17584994138335286,0.9450009261525717,0.8230405126945451,0.38551602607899305,0.0
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-d-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_650m,8528,0.5937773952492731,0.1,0.23446658851113716,0.9587009340625359,0.944518777920676,0.6977830010196774,0.008080788379481521
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-d-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_8m,8528,0.43507639596889275,0.1,0.19226260257913247,0.9412174452698798,0.8067189924133229,0.34356060503998753,0.0
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-d-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,vespag,8528,0.5810261238576642,0.1,0.21336459554513482,0.960430110578685,0.974491274262464,0.774829053222089,0.025751012453804772
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-e-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,carp_640m,8528,0.4933327449237895,0.1,0.14419695193434937,0.9513627354793478,0.9793701075986176,0.6665574084864062,0.10925171710472446
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-e-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_150m,8528,0.5543180013587328,0.1,0.20281359906213364,0.9510735933235133,0.9229975480319537,0.5261051036826734,0.003269559832410654
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-e-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_35m,8528,0.5222310719380493,0.1,0.20750293083235638,0.9498731710632101,0.9034685207310698,0.4774485069968245,0.003269559832410654
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-e-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_650m,8528,0.5126147271798371,0.1,0.18405627198124266,0.9526815262766857,0.9638839437562312,0.6279736113171601,0.10925171710472446
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-e-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,esm2_8m,8528,0.4946845223718187,0.1,0.2063305978898007,0.9441370318665735,0.8814068567896302,0.42248184285739865,0.03425455059084885
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00001200-e-1,mavedb-32f5d032de97ea22,F9,multi:f3533a9eb96e,vespag,8528,0.47043162040810127,0.1,0.1254396248534584,0.9498926084303216,0.981662800529342,0.6722696558777395,0.2819212009641205
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000659-a-1,mavedb-93100c3b9be6e587,SGCB,pfam:PF04790,carp_640m,5980,0.23979371358730786,0.1,0.13210702341137123,0.9275986794443113,-0.03102829948662207,0.28225009575416604,0.5751163761642633
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000659-a-1,mavedb-93100c3b9be6e587,SGCB,pfam:PF04790,esm2_150m,5980,0.17587128149616107,0.1,0.13043478260869565,0.9226685598408934,-0.12354864885284285,0.14581428024403142,0.5456232286686603
variantshift-external-development-pilot-v1,mavedb-complement-v1,mavedb-complement-v1,urn:mavedb:00000659-a-1,mavedb-93100c3b9be6e587,SGCB,pfam:PF04790,esm2_35m,5980,0.059582722568209255,0.1,0.10367892976588629,0.9142471369976264,-0.18776976481605354,0.05111013797227076,1.061753309841717
