policy,risk_coverage_auc,regret_coverage_auc,utility_coverage_auc,failure_rate_at_50pct,mean_selection_gain_at_50pct,mean_selection_regret_at_50pct,worst_quintile_gain_at_50pct,tasks
always_best,0.0008245920745920743,0.07543013481861989,0.5943252946194464,0.0,0.6591731162588725,0.0807100123860158,0.3292324914994121,195
crossover_classifier,0.0008245920745920743,0.06782590014888486,0.6354488727958445,0.0,0.711066068597789,0.06788601524324953,0.392587695257955,195
decision_only,0.0014656177156177153,0.07412877470131886,0.6302243865820207,0.0,0.7253817116180165,0.07099375392204459,0.4089858149057533,195
elastic_net,0.0008245920745920743,0.09177001373410061,0.6203224983039507,0.0,0.6913566908074055,0.10945641661973453,0.36633761504718443,195
ensemble_agreement,0.00025641025641025636,0.08134796799586655,0.6322651806457762,0.0,0.6927615548795065,0.08779794227702419,0.37429736047272144,195
msa_depth,0.00025641025641025636,0.07273294864509233,0.6337064888494872,0.0,0.7142639325908581,0.07834110067276284,0.3879215858401045,195
oracle,0.0,0.0,0.8509011616677077,0.0,0.9552330251760468,0.0,0.8077383375964493,195
random,0.03433257143687765,0.169209491199345,0.5190760140492547,0.04081632653061224,0.5472638302864761,0.2015337472114357,0.16354999988793223,195
score_dispersion,0.0021955447229169856,0.08900399879816012,0.6205461522653537,0.0,0.6854792028673602,0.09152232436931253,0.37648824186158714,195
uncalibrated,0.0030502455776178408,0.07791032108850986,0.6306017526242196,0.0,0.7130413120425543,0.07127114407421653,0.3792539466925911,195
variantshift,0.00025641025641025636,0.06094774427121559,0.6449919126625195,0.0,0.7096214587432464,0.0676582331279738,0.3856777377005657,195
