fold,estimator,fit_rows,calibration_rows,test_rows,fit_groups,calibration_groups,calibration_tasks,test_groups,conformal_quantile,decision_shrinkage,override_margin,confidence_weight,policy_inner_audit,median_predicted_error_scale,error_scale_floor,parameters
0,histgb,1476,396,468,86,22,33,24,1.6828472821840723,1.0,0.1,0.1,"{""best_mean_regret"": 0.08860859855488415, ""best_regret_coverage_auc"": 0.0495957365083735, ""candidate_count"": 175, ""selected_policy"": {""baseline_model"": ""s3f_msa"", ""confidence_weight"": 0.1, ""crossover_mean"": 0.6144004902875265, ""crossover_std"": 0.30879989148693304, ""decision_mean"": 0.6754145185436863, ""decision_shrinkage"": 1.0, ""decision_std"": 0.12183819105765034, ""override_margin"": 0.1}}",0.18165072495216233,0.007962319433286716,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 250, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 10}"
1,histgb,1512,360,468,84,21,30,27,1.826645623777496,0.5,0.0,0.1,"{""best_mean_regret"": 0.08869086297081116, ""best_regret_coverage_auc"": 0.06308506287870556, ""candidate_count"": 175, ""selected_policy"": {""baseline_model"": ""s3f_msa"", ""confidence_weight"": 0.1, ""crossover_mean"": 0.6492410246862698, ""crossover_std"": 0.31103294789148705, ""decision_mean"": 0.6686153064865679, ""decision_shrinkage"": 0.5, ""decision_std"": 0.06297109222928737, ""override_margin"": 0.0}}",0.14771409129193971,0.007678136431793803,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_iter"": 500, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}"
2,histgb,1404,468,468,84,21,39,27,1.6761284467127286,0.25,0.0,0.0,"{""best_mean_regret"": 0.09626217082892559, ""best_regret_coverage_auc"": 0.06167610669990149, ""candidate_count"": 175, ""selected_policy"": {""baseline_model"": ""s3f_msa"", ""confidence_weight"": 0.0, ""crossover_mean"": 0.6083104205412005, ""crossover_std"": 0.31393810187587307, ""decision_mean"": 0.6894099685989545, ""decision_shrinkage"": 0.25, ""decision_std"": 0.03393350643397795, ""override_margin"": 0.0}}",0.1739972638203886,0.008818983481481258,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 250, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 10}"
3,histgb,1404,468,468,84,21,39,27,3.318596608891182,1.0,0.0,0.5,"{""best_mean_regret"": 0.08657812747008557, ""best_regret_coverage_auc"": 0.06147243460530071, ""candidate_count"": 175, ""selected_policy"": {""baseline_model"": ""s3f_msa"", ""confidence_weight"": 0.5, ""crossover_mean"": 0.5846035169852827, ""crossover_std"": 0.320216584981342, ""decision_mean"": 0.7048536967472542, ""decision_shrinkage"": 1.0, ""decision_std"": 0.1316838222179176, ""override_margin"": 0.0}}",0.17212763487225885,0.008029946322899285,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_iter"": 500, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}"
4,histgb,1536,336,468,84,21,28,27,2.1642979271419036,0.75,0.075,0.5,"{""best_mean_regret"": 0.09445225070601976, ""best_regret_coverage_auc"": 0.056137801515727115, ""candidate_count"": 175, ""selected_policy"": {""baseline_model"": ""s3f_msa"", ""confidence_weight"": 0.5, ""crossover_mean"": 0.61174686869351, ""crossover_std"": 0.334285579348523, ""decision_mean"": 0.6334174483199771, ""decision_shrinkage"": 0.75, ""decision_std"": 0.12093345300093851, ""override_margin"": 0.075}}",0.14938624172060566,0.007938129505468216,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 250, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 10}"
